T,V1,V2,V3
M4,1.420221439115729,-4.565409036715148,'L1'
M5,-0.01699473318356073,-6.924586009047138,'L2'
M12,3.5437083953210937,0.7930696304162828,'L1'
M10,0.49737771999762825,6.291284467284438,'L2'
M1,3.287208630497184,2.975562177551364,'L1'
M4,0.40410618911092483,2.3960562724570584,'L2'
M7,-2.0843264080450163,-7.390834813971099,'L3'
M6,-1.1332843391354244,-2.478842142915472,'L3'
M7,-1.942758749219567,-2.5670972759894166,'L3'
M1,0.9378673067750223,4.9536393924609605,'L2'
M2,1.8517014927113513,1.018286010300168,'L1'
M2,0.8204248510408105,2.160319716698058,'L2'
M10,0.14574457934448226,3.5748390612966414,'L2'
M10,0.977596269206126,-1.3425834800478222,'L2'
M1,1.3966620664594251,2.4677050747597953,'L1'
M4,-1.1008980877035144,1.1028127399937988,'L3'
M12,3.6468945680829723,3.1777635865351144,'L1'
M5,0.6758996867273085,2.160542342752729,'L2'
M7,-3.558606419318049,1.5060077697968612,'L3'
M1,0.23577167211982863,-3.6566656261268236,'L2'
M11,1.8032587943613907,1.1534605588092468,'L1'
M8,0.06721271228806902,2.0798172661497745,'L2'
M6,-1.4231714503258825,-6.877957342864397,'L3'
M5,0.4249596384319603,-0.7646362499082286,'L2'
M2,1.5463345557365216,2.948507680321287,'L1'
M4,0.4225416454334089,-0.7984012793828094,'L2'
M10,2.896137924599096,0.15472840215966155,'L1'
M7,-3.1293806744881225,-0.9859532608425265,'L3'
M12,2.0380978543125816,4.086291431748334,'L1'
M5,1.731001321944209,-3.3328708399952887,'L1'
M12,0.3277955487396145,5.634477604948079,'L2'
M7,-1.719210307149058,0.20179838611953116,'L3'
M7,-2.257349235534493,-1.4793097437416032,'L3'
M1,0.024245004513367086,-4.180918797829295,'L2'
M4,0.2950277255718313,3.338707163534516,'L2'
M4,1.5105901775025194,2.5278781032586677,'L1'
M9,-0.9264165484371745,-3.5572530255362507,'L2'
M4,-1.347163056475397,3.954109804973732,'L3'
M5,0.2772635734629358,-3.766330786548588,'L2'
M2,0.6230732866271071,3.1663850117428347,'L2'
M6,-1.740847036396941,1.3143197931213746,'L3'
M9,0.6597732411135964,-2.6037469506882838,'L2'
M7,-1.5057783591089289,-4.347046529520219,'L3'
M11,0.789463570779878,4.826291672379136,'L2'
M6,-1.8291465483600724,-2.4480753944299116,'L3'
M9,1.1187306145913989,3.0246221899844903,'L1'
M3,0.13358768558869047,0.2639507121553908,'L2'
M3,-0.5053793220293621,-3.8731492560644307,'L2'
M3,-1.0699336186038468,5.04525790604454,'L3'
M6,-1.5645757417630546,-5.542629856521156,'L3'
M11,1.5562331468559116,4.439311997904528,'L1'
M3,0.010935813689715215,4.139636875503534,'L2'
M3,1.1701420967926024,-0.41609274072500413,'L1'
M12,2.8020066704291264,7.6088882282575945,'L1'
M8,-2.55453820177272,0.3762342949092654,'L3'
M12,2.5168176504360273,4.132467473365307,'L1'
M4,-1.0884103146775785,-0.6727145144691303,'L3'
M1,-0.23543796645695192,4.424060714613487,'L2'
M5,-0.4714970115840271,0.3150646158874837,'L2'
M11,1.0788134772565037,2.0016349659570425,'L1'
M10,0.3052698461875267,-0.6287225911383612,'L2'
M1,2.422868607632443,4.915557617361044,'L1'
M11,1.5343428907157324,6.022884409288483,'L1'
M10,1.244369547840778,-0.2178504983117473,'L1'
M3,0.764736680608584,3.2718198734662716,'L2'
M12,3.9222707765392357,2.08702120571414,'L1'
M5,-0.07937937863710401,-2.286934175954551,'L2'
M9,1.2911496824958297,4.8431910286883495,'L1'
M4,-0.9141004626012975,-4.518992640812967,'L2'
M4,1.5061698199027223,0.10552503408812275,'L1'
M11,2.5100875381645755,6.079512549058648,'L1'
M6,-1.3894452367236105,-6.449619876619732,'L3'
M6,-0.8823021800484983,-6.6114705890401435,'L2'
M10,0.07789115954977188,5.490535612692327,'L2'
M3,0.015479551336989587,-1.8349819109511671,'L2'
M6,-3.21178275060327,0.8279295894546714,'L3'
M5,0.10321117757146542,-5.145626910029743,'L2'
M3,-1.1139420031128373,0.4125654408834316,'L3'
M3,2.034766992513752,-2.851910662166137,'L1'
M9,1.0074437053883873,-1.3262595877042,'L1'
M4,1.1851007094252495,4.153517989207191,'L1'
M11,-0.08917363935288436,-1.6778432038796094,'L2'
M10,1.375739208516912,2.2249276953429993,'L1'
M11,0.4137123695400541,2.0261468761122403,'L2'
M7,-2.3178056333498507,-5.573508114680779,'L3'
M3,1.7376959865929662,-0.13275266679494746,'L1'
M2,3.1525012593961588,0.2571555009376927,'L1'
M3,-0.13137170574533366,-1.9277798409180649,'L2'
M5,-1.6338380466843068,-3.259239481522582,'L3'
M6,-0.3767229803870715,1.6967482326542105,'L2'
M1,1.5580020460118473,-2.233685256108319,'L1'
M2,1.9380911761408253,0.622642559825485,'L1'
M10,3.635788734569605,3.0790396377674867,'L1'
M11,1.7729231964819325,2.4256506547257555,'L1'
M10,2.4165061065371045,4.810112671865916,'L1'
M11,2.1338885716367977,-1.4077679036088577,'L1'
M12,0.024961002037814595,-1.5505737202866943,'L2'
M3,-0.2628537422004442,3.101943282516916,'L2'
M12,2.8601497395659408,0.594229865258816,'L1'
M8,-2.905842394711443,1.2117800082732642,'L3'
M4,-0.34434010866248,0.3277650297775284,'L2'
M12,0.8498595395133979,-1.7768060222094793,'L2'
M4,-0.10906321548342782,-1.895232354187515,'L2'
M8,-0.3312746510544986,2.3145763294700323,'L2'
M2,2.554260032578665,6.889211949329837,'L1'
M2,3.586489938037186,6.731844958717648,'L1'
M7,-3.2906906381707532,-1.005413894423179,'L3'
