X,A,B,C,Y
P12,2.3104526183238385,0.02035937661961193,'L3',15.566994008956073
P13,1.1374335984347352,0.2096289553394443,'L2',11.374922931024713
P6,-2.1788202193016453,0.2032814082519488,'L2',7.151899205162891
P13,2.0268881229292846,0.01744145310351533,'L2',12.867216205353653
P13,2.5807208082453355,0.18708631622313546,'L2',13.267777098848402
P12,3.1736952262469194,0.03802107608922578,'L3',14.451797174356626
P16,-0.24741043474320673,0.18016624398118755,'L2',8.899665093165293
P2,-1.7366408381305818,0.1607022225787186,'L1',7.779699897384021
P6,-1.710708586754169,0.24993569009018812,'L2',8.008065587339878
P14,3.695494253316762,0.08365607359023955,'L2',16.425231989767916
P10,1.385391303349857,0.059485893438012916,'L3',10.669644044289003
P6,-1.7062050177280366,0.12955609000953835,'L2',7.864460772511596
P1,0.5774071035056505,0.007121411870113753,'L1',11.967778657494431
P6,-1.4577074300755475,0.09282628068089877,'L2',8.047069188298314
P1,3.1854899556781033,0.1767150894948897,'L1',14.777191214099538
P3,-1.920970798954327,0.12505183803052253,'L1',5.394738414070433
P12,2.694731524380351,0.21541671835048512,'L3',15.225937730638236
P10,0.5881652613785695,0.03787957966713412,'L3',9.940320346782332
P5,-0.9563489362335835,0.18209944576469186,'L2',8.38019036504315
P12,1.8892355936050773,0.15910688195515238,'L3',13.706109810154805
P13,0.9126232776413363,0.02539458764854577,'L2',10.922953246506253
P5,-2.390365057016394,0.1537794894375101,'L2',6.204085515736997
P2,-2.749298208594216,0.10483066003260247,'L1',4.522398571090762
P8,-1.2461078849124925,0.09230347312663939,'L2',8.779605829834146
P13,2.798720292467543,0.16087344003083015,'L2',14.78516523320642
P3,-2.111020480919675,0.14681137677234615,'L1',6.4426788155418055
P1,3.10484716436378,0.07656260491310024,'L1',14.639255040207846
P3,-1.7846394330977895,0.051705762469884786,'L1',8.573625939862016
P7,-0.9301373693371022,0.11809435138133412,'L2',9.588347038695222
P8,-1.567146232716166,0.15274495137606642,'L2',7.233596783656511
P11,2.109814709226553,0.0499540185143007,'L3',13.943940737142976
P5,-3.3859906166601696,0.245767874779685,'L2',5.4431953539254065
P13,3.531081584906433,0.11516755416254987,'L2',14.378314218213657
P16,-0.4232344151635219,0.12183930734863435,'L2',9.584831129743575
P8,0.3013705667144656,0.2207434662366234,'L2',10.576235730000391
P11,1.7760308086079237,0.050680459559173024,'L3',12.783140490472185
P5,-1.959182525707,0.22082591015139424,'L2',9.148743776376556
P16,1.1777626297603683,0.032559469702583554,'L2',12.60502118464266
P10,2.294484948937794,0.1263170599910319,'L3',14.874288596688347
P15,0.7132198664465546,0.00899901873409606,'L2',11.244514049422973
P6,-0.5904617595852164,0.2481420911556957,'L2',9.744885230943076
P16,-0.7649201787664215,0.05867607082123652,'L2',9.04838343402232
P8,2.594891145472668,0.20381245205184567,'L2',13.612984570413055
P6,-0.8657700460822084,0.18299887152381478,'L2',7.155638712652504
P16,0.3736476512080201,0.009000242101491945,'L2',8.182760328539702
P13,1.2125474250961614,0.007651862522802977,'L2',11.18134471157055
P11,3.359055341073289,0.14676025887449345,'L3',14.8467979697526
P11,1.8189820059490935,0.14339601810307614,'L3',12.76310864110644
P8,0.04510957278615231,0.07062962990139277,'L2',9.728025584756939
P10,0.8988863259610701,0.1525989484897957,'L3',13.22071229132739
P10,0.994444047066508,0.2185494621777628,'L3',10.400568629637892
P1,0.6561870518858467,0.11212805192553496,'L1',10.602323542628795
P2,-0.7473188892501502,0.22191109516948557,'L1',10.104636119241842
P4,-2.054796701213812,0.15332489902859106,'L1',6.839285998713389
P13,2.345508863797772,0.04305477931833257,'L2',13.466718453033184
P11,-0.3151365836575435,0.060314732284832556,'L3',9.746123692262609
P12,2.3759002261321274,0.17275432480857722,'L3',13.149756891270478
P11,-0.218384928595448,0.1986643595485068,'L3',9.622185967289461
P4,-2.7088533911591393,0.057578738083695735,'L1',5.469005294481424
P6,-1.7814182719764504,0.24193803889659246,'L2',7.586869028648545
P9,0.38212560159716047,0.04219629430761329,'L3',11.40459131119248
P4,-2.437943753639487,0.13494385743727566,'L1',5.34481583632187
P13,0.8270326504702086,0.07143301104500677,'L2',11.791967916193904
P13,2.5161846629806472,0.15112929346555246,'L2',13.545574647157757
P10,1.511939717947488,0.01257847232557685,'L3',13.338495919204739
P16,0.08296189880019122,0.2322724012106304,'L2',10.618382120659586
P9,0.5533882273660813,0.1503312648878953,'L3',11.191748790483427
P9,1.2834009862234024,0.19019079522234514,'L3',11.335631721169804
P14,0.3720179536380138,0.12472699122731401,'L2',10.911570086921529
P13,3.1118641143437213,0.06198261126894988,'L2',13.875593027762633
P5,-2.768711489351161,0.003249240891248145,'L2',8.441762142613042
P3,-4.468698772984939,0.23679340506083382,'L1',3.70193346273627
P11,1.9045845937712638,0.07016185950096551,'L3',13.506644714421729
P7,0.5354577908169065,0.23076791583867295,'L2',11.659264183770759
P1,-0.7325262963897803,0.052036495571368774,'L1',9.215896340653794
