C1,F,X,Y,Z
B,0.9658055360646367,4.753116445984227,-1.3596888002756262,-1.2463566662093433
A,1.2668378182210545,1.0785045872380175,0.5596918056525725,1.1972391379622471
C,1.0573979811626255,2.0084267312107547,0.26994317735054363,0.4864192464520395
C,0.5575902098586833,1.1265928796537201,0.6481453048035243,-0.29035704433169884
C,0.9330256865602569,1.9705532056211357,1.0458598407250388,1.132487710010047
C,0.9725361507488348,2.2527053568293307,1.0183201590544873,0.3447840898463983
C,1.2071997985951328,0.9683074128346527,0.974674451711081,1.0943928475354623
C,0.9910572706301528,2.276262973883966,1.0573151645950243,0.19898109981080492
C,1.173617438652224,3.155422939248023,1.471539501619827,0.8385816853398056
A,1.4933088290425462,0.13685322026902702,-0.18783980019853203,0.8181613114943178
C,1.2611399042052986,0.5002776937187706,0.5824725079187762,0.5286295591726402
A,1.0372277729789359,1.5384531012394826,-0.48354439061156695,-0.9172830534129228
A,1.1646891900510752,0.22293665757354073,0.37938118597262693,-0.25329908581899646
A,0.8981691384558907,-0.88926156566507,0.6279045951257628,0.04687933964763935
A,1.2607074948968644,0.6312776271895554,-1.397491983231422,0.3140179875138116
C,1.0838504846682524,0.8547147020230007,0.8122716065957766,0.3325009179465669
C,1.0807642106425988,2.194799941344708,0.5280325965506163,-0.04832478370083959
C,0.6981130408287085,-0.8351764395454913,0.8804573364355948,0.3695644206064608
B,0.777961592809457,0.9688098462739831,-1.829619867302256,-0.3650196923253527
B,0.47261027710946657,3.6489008390853854,-2.458401038156825,-0.06590424921363192
B,0.34179835490164245,0.7984654610482971,-2.6711397303879387,0.04262555853927119
A,1.3736563990221655,-1.263934335911535,0.1401545364015883,0.12139570527438472
C,0.5921670009383142,2.6427538669739556,2.1055902138610563,1.0514601048759924
C,1.4161362424296038,0.8040096631204139,0.38056183973183844,-0.48906935827323317
C,1.3073468547554743,2.549057181896239,2.548003856412951,3.1301400737521656
C,1.1222601262896739,3.02795386128253,1.6558530001395426,1.101668926765249
C,1.0264548599410819,0.17965333338189104,1.649011872092985,1.684004226015486
B,0.7184708692797619,2.8086974118007024,-1.6257466993065224,-0.09266614901668546
B,0.4462836418984989,2.9018309829816658,-2.02506573900135,-0.2597253687629859
C,0.6353493013548805,1.7271879422414569,1.5238623135143854,0.9620026996978186
C,1.0272909101860217,0.4304095009959992,1.922284208696862,1.0258944064637467
B,0.7309904214073977,5.303767993018093,-2.528322059134596,-0.5029007481398555
B,0.8841726249909116,3.73301097713818,-1.48337422651034,0.15003187520883265
B,0.8095534349068132,3.147454080972219,-2.1111817720101405,0.7572106882337042
B,0.6229193051768405,2.7475665670201974,-2.5360900493398857,-0.800205431316084
B,0.2888684924040884,5.4579244839814605,-1.4433155785354765,-0.23659803156216747
B,0.7124667372819873,2.5491655843468006,-1.140906416345889,0.08399331340255739
B,0.8709134300492831,3.7312925093137768,-2.2194231475617374,0.13045280799565195
B,0.5620833143112864,1.6995718294094846,-2.7877446808077364,-0.7161108766132851
B,0.7949084596290028,4.574756507115855,-2.6905227287427316,-0.08492748441202136
C,0.7934933185164645,0.8841428023569262,1.6692971880796987,0.8108744468516784
A,1.280548398752873,-0.30256221502733277,0.12220602874773151,-0.25425594591549855
C,0.7820821661607207,1.7999657715796653,1.300347363847091,1.4890375329395922
A,1.2459860653048929,-1.8375215333633192,-1.0555213278137845,-0.27119902079870684
C,0.8400799017833565,1.180354908764932,0.966467472085696,0.36534718754483675
C,0.6470285385868796,1.7884207037086013,0.7583325554935934,0.10136840302226147
B,0.44431772802655095,2.4071709111820905,-2.0733263208212476,0.800285707472746
C,0.9293343119913708,2.8689630820555694,1.2987921278726546,1.2470592211086597
A,1.6134545079173062,-0.6823838820241538,0.12057348632497834,0.48869796963047274
B,1.0605608788236902,3.201566077400325,-1.5682108630509384,-0.586176757984055
A,1.1231297471320536,1.8549644632904558,-0.17861810083504082,-0.2042179980838478
C,1.084800573996775,1.932106859078766,1.336167905591187,1.870423502809647
B,0.4409943869316105,3.6319393986342097,-1.750902450842048,-0.8818196586862682
B,0.6783559816333901,2.449820769202052,-1.569211354208128,-1.236685447053978
B,0.7190295858341123,3.712559393534585,-2.376184202622227,0.5324261775928172
C,1.236753528402911,2.339661979123225,0.7735526811577439,-0.4518093858181226
B,0.777047528201974,0.5729890834567573,-2.2753032297820304,0.24599379001718225
A,1.056074606171177,-0.7357418491198942,-0.08359999018901076,0.1124574070073525
C,1.1176601628003637,2.127235747787597,1.0493538404626133,-0.2507620396698108
C,0.9650844453118523,0.586932924276876,1.099900373533653,1.5937455703041192
B,0.6008189342705673,3.9045864981847282,-3.016037775074767,1.0814250537987191
C,1.0229471903681304,2.2128747103279753,1.3737374158152127,0.35860998663190546
C,0.5715993390482024,1.649888390479244,0.8177748317687679,0.28935615991549324
A,0.8666313369178928,0.5409148468377455,-0.3233362125556755,-0.8477432799461387
C,0.8834806189508704,2.236798171211652,0.6057785051599233,-0.6135588371590862
B,0.48790706217136703,1.1298014144701554,-1.0555852931556888,-0.8970729992312416
A,1.6407659597014026,-1.5380173125303407,-1.4279807285362685,0.15881322081555022
C,0.7675263789424657,2.5279907791489737,1.2504783253788514,0.1553753007270302
B,0.9491505751832838,1.4507804160344706,-1.3175313835466684,-1.0536844341086233
B,0.730109041734051,1.5603415640776053,-2.643768369008134,1.0392276544412604
C,0.9837117504247593,0.11007425218585842,0.7334528422461182,-0.1813812417393626
C,1.1514198150104904,1.0087954789949087,1.319782621693836,1.6488429748562876
B,0.5085173981321409,3.1055470155365015,-2.0821755672344247,0.012714293712196012
C,0.8141585636738313,2.363475371964296,0.9673237036207905,1.0184560767036874
B,0.9645229022308686,2.687288941256922,-2.418952474332497,-0.4422652790837853
C,1.3129144856735993,3.147026511937581,0.31764925956037404,-0.1236202394841496
A,1.4531559446655429,-0.19767861285493352,0.41042500606227444,-0.32724693348417133
C,0.8958215831311842,-1.395522693289435,0.8836729809188778,1.0804446653612447
C,0.9062761958574277,1.199300165932805,1.426247168826339,1.6671679792621117
C,0.840103760346754,0.9674979321878496,0.9139217062796915,0.24649623126431575
A,1.5159860102269955,0.07373496500410383,-0.6259664923759846,0.532265775849148
B,0.8781294661383772,3.8983807465101403,-1.390161339418441,-0.3682662522333127
