M,N,O,P
2,1.4714887922366762,1.4646333265570943,5.0
2,1.4632567149523086,1.2122374704138685,6.0
1,-0.16870584559900992,1.0004373743874282,6.0
2,2.3904081130489025,1.075754948172941,8.0
2,1.5840303140998855,1.4889680005851325,7.0
1,0.33347135254959925,1.2968472449348725,8.0
0,-1.769538454709544,1.1330303526870462,5.0
1,0.03712490603918023,0.6408214345055554,4.0
1,0.6425181711619885,0.9371844250883644,4.0
1,0.3989679339229259,0.9817864321979182,6.0
2,2.2682477692220906,1.0586812094576339,7.0
2,1.9504323605489577,1.1295844507927164,7.0
2,2.4333454661115805,0.9780173892771169,8.0
1,0.010719803685177064,0.8120887094487848,7.0
0,-1.8849761096973634,0.5238747617707702,2.0
0,-2.2826360010028335,0.8996392643797992,7.0
1,-0.657953856474244,0.6483768808485764,7.0
0,-2.4526988515807147,0.9229806101506481,2.0
1,-0.4129857453397031,0.8060566071377706,7.0
1,-0.3612777000537729,0.9877745565657381,7.0
1,0.37672989207685476,0.7898558311024144,7.0
1,0.4838544272234633,1.0244627734506975,8.0
0,-1.9642663710180006,0.4999244478356678,2.0
1,-0.42949172626463067,1.0156158965000897,6.0
0,-2.699387804710582,0.8885616175019624,8.0
2,0.7408753122031935,1.1049028721685445,6.0
0,-2.3245355107847794,0.6995485451738999,4.0
0,-2.0612866493940767,0.7779616825937361,4.0
0,-2.381940535011401,0.44158091914071507,5.0
1,-0.601693212265421,0.9269395766012032,6.0
1,0.7263688236761798,0.7559908845256065,5.0
0,-2.110610514711645,0.5082417535152417,5.0
0,-3.137057386680013,0.3536925025711365,3.0
1,0.022828196775770183,1.2868999546341966,4.0
1,-0.5661124454561983,0.9476605744092335,4.0
2,2.2015677313429944,1.3551090697385626,5.0
2,2.0744714590441653,0.930378258109045,9.0
2,1.8608016095050124,1.272287653047269,6.0
0,-1.8489547361576677,0.8625181636845838,5.0
1,-0.32231547164484003,1.124784298572191,6.0
1,0.08739505332767303,1.0080018583068209,5.0
2,2.187402200347495,1.5978710162488163,5.0
0,-2.4414662042087576,1.0167995433606065,8.0
0,-1.8970355193116195,0.7215796890291499,3.0
0,-1.5280843760659526,1.0964902437439739,4.0
0,-1.4826732878876951,0.404164948402541,6.0
2,1.5035729798687592,1.129175028794155,9.0
1,-0.24246568742885952,0.8704135802162463,7.0
0,-1.3546928161047729,0.6857293445566075,4.0
1,0.5863537280545031,0.8402560397784735,5.0
1,-0.07369031908115012,1.2407437051194121,8.0
2,1.456240475672396,0.8500546943727809,4.0
1,0.3794134793046981,0.654709586520813,6.0
0,-1.8979540206240215,0.5441928971128114,5.0
0,-2.4285614125353767,0.5671088544778169,7.0
0,-1.7358172135549914,0.9550564857530393,8.0
1,-0.8607226108429085,0.9516266398048505,7.0
0,-2.059581456744071,1.098176113483809,5.0
0,-1.8924518684927913,0.6902523728612395,7.0
0,-1.3393759360035715,1.0297240724026084,7.0
1,-0.12450060668807163,1.2154282906473135,7.0
1,0.7670391967095285,1.2527111782939027,5.0
2,2.5100741886276188,1.3503202773274179,7.0
0,-1.1941360926810811,0.6016365628129676,9.0
1,0.6827934678084275,1.054162722875187,4.0
1,0.22731191431734946,1.2515915415614423,6.0
1,-0.18624078158686327,0.7226864894468388,10.0
1,0.5845289063284016,0.9257932254744643,7.0
2,1.3681753965903418,0.8474347855547456,9.0
0,-1.4921550382295532,0.8110484899949613,7.0
1,-0.30457895636442,0.9432413452584232,9.0
0,-2.310694487412456,0.6136096612207484,4.0
1,-0.045189110214843106,0.9573340443731105,4.0
0,-2.308395568655577,1.151433014234699,4.0
1,-0.24036307579951424,1.1255239345631396,6.0
2,1.874858558361547,1.2737323050027345,6.0
1,0.5096202500991246,1.12465594547768,4.0
1,-0.06581151791018336,1.0397295645767262,5.0
1,-0.2094179031517716,0.8765577969694693,4.0
1,-0.5502107115900627,1.1799311135423678,5.0
1,1.0161129424357833,1.246821465175908,6.0
2,2.3226924539407303,1.3911645799092507,7.0
1,-0.17884283532553247,0.7711903110858933,5.0
0,-2.2912094142931663,1.0546282787894001,5.0
2,1.6775326121713672,0.821520415236066,6.0
2,2.4352375512413005,1.211734315921439,6.0
1,0.7094119548552461,0.5734443181625984,4.0
2,2.2308578173935247,0.9177356613923866,12.0
2,1.5424543537479047,1.4844246084715005,7.0
0,-0.670828113369982,0.45041048380532217,7.0
1,-1.260843038038893,1.1626823020530446,2.0
1,-0.3202629921035895,1.1094932376761042,7.0
0,-1.1737816234715421,0.8909243583724371,7.0
2,2.6882613857638944,1.286732361582373,6.0
0,-3.3837031250864387,0.9384351408421918,6.0
1,0.4399583078581132,0.8064827199241893,7.0
2,2.436122527644956,1.2192487716500626,10.0
1,-0.2858776249991054,1.1282525531906922,6.0
0,-2.346469247006685,0.886498308391154,8.0
2,2.0831585873420693,1.2933213177353227,7.0
0,-1.9689659089130285,0.7157928206339286,6.0
0,-2.345008902141229,0.8427369526635944,4.0
2,1.3128762637011624,0.8973338303081135,9.0
2,1.8319882544877024,0.7583658535361951,4.0
1,0.05664706889701744,1.0075319435373893,6.0
1,-0.381872634375541,0.580913925823424,7.0
1,0.07471071962683955,1.2909212810842579,4.0
1,-0.02929866693628724,1.22424119054306,7.0
1,0.03393568195700503,0.8445435774434206,4.0
2,2.0053675275593883,1.2025939827227587,10.0
2,2.1560375617366017,1.5913286839938126,7.0
1,0.4125664447592207,0.8527719730233696,7.0
0,-2.457658107037897,0.5843923144248904,2.0
1,-0.01522856158755277,1.293218656967559,6.0
2,1.8141347440148718,0.8757276756008694,11.0
1,-0.761410274835894,0.9538871363206254,4.0
2,2.455454726813513,1.245974462363038,6.0
1,-0.3988617068486427,1.152689980482771,7.0
1,0.3017884283085085,0.6213344624725743,6.0
2,3.0429035069646106,0.8930568021455889,8.0
1,0.9787575220566003,0.7698560206247658,5.0
1,0.034527281176389216,0.7834676708751163,5.0
1,0.3772867216074172,0.9952650360940904,9.0
0,-2.254092239243824,0.4892571224509818,4.0
0,-1.9531279018653271,0.35051200083766443,4.0
1,0.8751552608025956,0.7945743560265986,6.0
0,-2.128548991310667,0.9484770630942279,5.0
0,-1.9226649637553275,0.712082047620159,3.0
0,-2.3601773652699185,1.254270915301599,3.0
0,-2.74272571734795,0.6210790969748512,5.0
2,1.2976371894864938,1.2473405809105194,5.0
2,1.9349713359821146,1.4282274813686646,6.0
1,0.31324694792214874,1.2120595649083037,5.0
1,-0.26776026811165676,0.6098462279866229,6.0
0,-1.7193026109966656,1.059457629191752,3.0
0,-0.6022153349505874,0.9932051622774476,7.0
2,2.80181934117314,0.8835642332840832,7.0
1,0.5871282548777104,1.19579128563074,6.0
0,-1.3691033081207644,0.7349178001350065,7.0
2,1.5987069666992393,0.8616055976349631,8.0
1,0.342260367503792,0.8197535268038116,5.0
0,-1.8730974618579588,0.8757711161118578,3.0
1,-0.8275271309041662,0.865805317010199,7.0
2,1.9746244864455225,0.986242764064343,9.0
0,-1.7669028065484604,0.7194027474951907,6.0
0,-2.8307946184859967,0.6337052126039877,7.0
1,0.6479129372373539,0.8927345646626392,5.0
0,-2.5502218685003673,0.9250373604572748,2.0
1,0.07928900233091939,0.9817457525864144,4.0
1,-0.03558398524924543,0.9516860592295459,6.0
0,-1.8834793240655288,0.8311351781311282,5.0
0,-2.438308429429121,1.1525708093141198,6.0
