G,H,I
0,-2.981077619077506,-0.19710131351419613
1,2.783663571811722,4.367152085901606
1,0.9014845848652628,3.727372288488496
0,-2.275925589806126,-1.106235680697146
0,-0.49294857052197294,-0.19150221597204942
1,1.6746503656269587,3.392507424334494
1,1.1567013892286315,3.49153193086533
1,2.6701370973984884,2.9392141476411138
1,1.4023520479799108,3.1192453173145984
0,-1.532855845666612,-0.5099818260011111
1,1.7483677117520933,4.388785763794752
1,-0.14872156487281396,2.090120553667153
0,-2.910780197943423,-0.09281622052376948
1,3.9046473544777305,2.2501214404563448
1,1.8518471972882646,4.611558066970017
0,-0.6057831950343726,-3.0136420995822824
0,-2.8506394826074954,-1.1864946204710973
1,3.0792566642917043,4.859533209868936
0,-2.662587341453326,0.2740953255231138
0,-1.488346070719364,-1.037076123913423
1,3.343784587171979,4.3657625338211545
1,0.18278299088980443,2.2269407864703443
1,1.2661627139493583,2.087336830571746
0,-1.9684007942578932,-0.21685292348554874
1,1.5420693267217978,2.030960009557504
0,-3.1368290010174387,-0.605514011449472
0,-2.7663483061678193,-1.9615231048904902
0,-0.8528363646760557,0.5253098035525643
1,2.609017381352846,5.177509587260474
1,1.609865554235041,0.6923376923942763
0,-1.0690781422519144,-3.3060807938828605
0,-1.2401888023846257,-0.07865214912734941
1,2.1664933565370346,0.3606601533402989
0,-3.0564723532383296,-0.02733184255148302
1,3.4430216738111596,0.8970003304916059
1,2.8458930810530134,2.7151501513357283
0,-1.2542473049697151,-1.7813192948662253
0,-1.328916950122822,-0.8958808160565668
0,-0.8954122348258813,-1.2408006688682363
0,-0.7849253243003573,-1.2990913881341137
0,-2.414487209288941,-0.1803868648138145
0,-2.85832142877537,-0.13986672059241345
1,3.2252342951079966,2.2190794345613463
1,2.730231676874731,5.904918727545829
0,-1.4950905690587133,-0.6872803599147069
0,-0.8394656180553399,-1.8392878078579098
1,-0.9883050294549958,3.6045303098133514
1,2.6108913932619977,3.943324494544528
1,1.926296969948466,3.1770789097176255
0,-2.1125767990364204,-1.9782203659069748
0,-2.2233577363670247,-2.0343071731854234
1,3.4017970503478625,0.9883149968788043
0,-1.2504814745983452,-1.1911740905630368
1,1.737796175664846,1.4147116571068434
1,0.7867131879409417,4.687336842650215
0,-3.6287910966200756,-2.554246383424789
1,2.6850327145650135,1.8595034704010278
0,-2.645373110869657,-0.3229287947886652
1,3.404668112514705,2.1428894834579046
1,3.875423263377476,1.9176577250654463
1,3.0370448039367273,3.675287792040117
0,-3.079729738257477,0.9271956736276881
1,1.9011890376839415,2.4601903519803896
1,2.9229042074232368,1.1745044297251004
0,-1.862979618334791,-0.08393175951822385
1,2.3038513789762973,3.8441464957178146
1,2.8139130804359236,2.067568458522067
0,-1.7806574176488283,-0.7000515653498857
0,-2.76972610752083,-0.45464849096254256
1,1.3377907288233606,3.147972409918871
1,2.133099292654744,2.1001709816773126
1,2.3594744467901334,2.828792741672743
1,-0.3361732324519493,2.5955947345520456
1,2.2788847748780126,0.8769934192153337
1,2.405493301290568,2.223250555450038
0,-0.8099988726256362,-0.16109751900878022
1,1.4844678525153154,3.4898316355866856
1,1.6036777869524235,2.884031159703317
0,-1.4367617269480744,-0.6667024533169066
1,1.5401340012345617,1.9733096011415934
0,-3.400339401800941,0.34954391837034504
0,-1.7525099331513379,-0.1091467567935237
0,-3.294456443922381,-1.707388273166411
1,2.8557148475309386,4.522906030656487
1,1.3783887469695204,1.7097665294119468
0,-0.13664010714739527,-1.642779767520313
1,2.4023512038691908,1.960350549337816
1,2.8526595620132564,0.7781025402206168
1,0.9430302602298992,1.5866447983522716
0,-3.018918919116651,-0.7200459288866453
1,0.8804910991697414,1.526865890680636
0,-3.9125551962895253,-1.1904715385153288
0,-1.9371356435088398,-0.5163703461116396
0,-1.9729056217655654,-1.654247573872135
0,-0.6631885860152162,0.6181838770691721
0,-0.9153776493541776,-0.6432950885446908
1,0.25730234938830865,3.545953540930194
1,1.4958455711750562,1.707690092608903
1,0.566544113070504,3.5176097411516647
1,1.7255491838040187,2.2909913386417196
1,0.3959415762965086,2.0543386208957037
0,-2.0748014552936693,1.470587974918507
0,-2.0404214952234843,-2.269867449334444
1,1.3971678649166155,0.9381929605708632
0,-4.371405261415392,0.449763513652115
1,1.0930558339563168,4.355053772139875
0,-2.998886011534825,-0.32678780049322464
1,1.7780267882714913,4.4791820938131295
1,2.0589899670100333,4.585140019762724
1,2.270973581124617,5.1875398134718536
0,-1.9535262565086746,-0.7365644469247721
0,-1.5107862715629934,-1.3305361850362356
1,1.5675249331650016,-0.724353069618167
0,-1.2437057726479577,-0.64331298241688
1,2.6490171213022258,0.9806992745922654
0,-4.406266890798287,-0.261880723984109
0,-0.8796395662527092,-0.8886570314634675
1,1.2819795807991141,2.90407393430692
0,-1.4826052069713813,1.0702562820903778
1,1.8518106476201501,1.3570726721833484
0,-3.237133545362756,-2.0196196205140775
1,1.4691458233113028,2.8403637744630883
0,-1.8915681930968657,-1.3128901441750316
1,1.4436927310971654,2.174715024891885
1,0.5186481735778563,2.912966246578933
1,2.0381019230060646,3.182068324958768
1,1.7293770748090942,2.4007337817755174
0,-0.12682815967556182,-0.47906586131241335
1,3.1847741270250234,1.807919120705378
0,-1.8247830204705395,-0.9376056679746202
