C1,C2,G,H,I
S,0.2M,0.8957017570909174,8.0,2.069053092277757
R,0.4N,1.2019941714734426,7.0,-0.7533469325619487
Q,0.6N,1.340586870516982,8.0,-2.2627744941772066
S,0.2N,0.9325042906629437,8.0,0.6977545162551054
S,0.2M,0.9397075581829197,11.0,-1.2361806479940984
R,0.4N,1.4096528767964664,9.0,1.7859414346488718
P,0.8N,1.1411775606964922,8.0,1.9231070840318498
Q,0.6N,1.323381275539779,12.0,1.1272640225664605
R,0.4N,1.1382050216950186,7.0,0.043078052917467635
S,0.2M,1.0324504510352397,8.0,-0.2468265044637633
Q,0.6N,1.5185972186161665,11.0,2.517172202305923
R,0.4M,1.1977116108831347,9.0,1.2545706047258063
R,0.4M,0.9929030752255847,4.0,-0.41020854877930135
S,0.2N,0.5079559160712244,6.0,1.5204016123748092
Q,0.6N,1.229323784449051,10.0,0.9055913603111226
S,0.2N,1.0076837753235848,6.0,0.9832719244768806
S,0.2M,0.7395709805680843,10.0,-0.25313974493412195
S,0.2N,1.1486500761564051,9.0,1.020679062613135
S,0.2N,0.5881465524452654,11.0,-0.014958937456463928
R,0.4N,0.9473276238962411,9.0,0.8229997938875071
R,0.4N,1.2857515831276833,5.0,0.821246525302753
S,0.2N,0.8507313710556816,8.0,0.663689803257114
S,0.2M,0.918339616291111,9.0,0.738764941188162
S,0.2N,0.7103906268813895,8.0,0.021782925755991
P,0.8N,1.752262548877658,16.0,0.42921115465691906
S,0.2M,0.47736482312948847,6.0,-0.007638061738461266
R,0.4N,1.4040006968019,11.0,0.18022403336995677
S,0.2N,1.042087429995408,10.0,-0.07534062381431361
S,0.2N,1.1188154956392022,6.0,0.6887989015120142
S,0.2N,0.7786666224854779,8.0,1.8242522744200298
R,0.4N,1.1730657312571546,9.0,1.5351204814662434
S,0.2M,0.807346266616277,5.0,1.581730318134544
R,0.4N,1.0501904193505571,8.0,-0.30562292810050395
Q,0.6N,1.0912967273886276,10.0,0.8161293123042292
S,0.2N,0.8675299805641099,8.0,0.976372387188324
Q,0.6M,1.4062314495807104,11.0,0.15484977942376998
P,0.8N,1.2416234327229723,10.0,-0.6724293324768228
Q,0.6M,1.2066746475131094,8.0,2.1865615181085687
S,0.2M,0.6086515398019124,8.0,-1.3463535699245406
P,0.8M,1.5078137732495658,6.0,-0.6444749644902631
S,0.2M,0.5559840249903627,5.0,0.9010600273045607
R,0.4N,1.3785230306778167,11.0,1.7120100672126197
S,0.2N,1.1599607713514357,9.0,-0.2839552422043581
Q,0.6M,1.5589813533586272,7.0,0.3158335642887218
R,0.4M,1.2038841648123617,7.0,1.083020068252944
Q,0.6N,1.4462887085114096,15.0,0.9788881330744603
R,0.4N,0.8144996389453887,7.0,0.9094443401336366
S,0.2M,1.1660181957241293,4.0,-0.44308282985884717
Q,0.6M,1.1250494905499255,5.0,0.18769778350444918
R,0.4N,1.1588825735936052,9.0,0.8086118693601108
R,0.4N,1.0579676376732334,8.0,-1.5629271587019278
R,0.4M,1.0152113052325686,6.0,0.92273156640404
S,0.2M,0.8205871111359857,12.0,1.1779362659095942
Q,0.6N,1.4606355720195887,10.0,1.6890683537109208
R,0.4N,1.3629434187387854,6.0,2.033728827851133
R,0.4M,1.267509176666982,10.0,1.9593944303016477
S,0.2N,0.8545724931626415,11.0,-0.03810112411743477
S,0.2N,0.47176450442767437,11.0,-0.15729277683916498
S,0.2M,0.6865876122634293,4.0,-0.15545395767594594
Q,0.6M,1.4850361182367005,7.0,1.5498977450257483
Q,0.6M,1.3520857018364367,7.0,-0.5529155601265656
Q,0.6N,1.5468812462126322,7.0,0.39021127139832135
P,0.8N,1.5987863892901224,8.0,1.8914657378810689
S,0.2M,1.0300960105780967,5.0,-0.8405624944411593
Q,0.6M,1.2710196496958555,6.0,-1.3294932272423239
R,0.4N,0.8542973525936437,9.0,0.24376862732992033
R,0.4N,0.6708924636515141,4.0,0.29095521346553377
S,0.2N,1.087743338466313,10.0,-1.457065920409025
R,0.4N,1.0878156199765097,8.0,0.46975192448656977
R,0.4N,1.1181535841604315,7.0,0.8912177503538188
S,0.2M,1.2404437018260823,10.0,0.21589024680856567
S,0.2M,0.6955538915136515,8.0,0.7980425488846737
S,0.2M,0.9941287304028907,8.0,1.9868685442665446
P,0.8M,1.1186187631496498,9.0,-0.07336152885632607
R,0.4M,0.9701289495245269,10.0,1.7377979228752172
Q,0.6M,1.3030647927277066,9.0,0.366263077752446
S,0.2M,0.8367091941530849,5.0,2.25614804394833
