Group,Subgroup,V1,V2,V3
G2,B,2.1982422164621016,0.9726253604288967,8.0
G2,B,1.2088872275555964,0.6412064677573095,7.0
G1,D,-0.9774111680961756,1.1928541438532863,3.0
G1,B,-0.8734519592552927,0.6044666155302136,4.0
G1,C,-1.735396395313874,0.7619740555482896,12.0
G1,B,-0.051366057871794935,0.5900138460889007,5.0
G2,D,1.4177672915929773,1.3213243765447535,8.0
G2,C,1.0467876070294453,0.8222655666991456,6.0
G2,A,1.6071463800922259,0.26180447364727594,8.0
G2,B,0.661060056201499,0.7059749837631879,7.0
G1,A,0.9224061715182075,0.34137695616032393,7.0
G2,B,0.7756740280599382,1.1683741044961005,10.0
G1,C,-0.7342586017237278,0.8386537555586719,4.0
G1,C,-2.745808823535466,0.8529701691678873,5.0
G1,A,-1.1604130865500504,0.6355923719476804,5.0
G2,D,2.3889499245123487,0.962233218888793,8.0
G2,A,0.030752897205666763,0.8851081424250664,6.0
G2,A,-0.858242277044841,0.6282479817687309,8.0
G1,A,0.15731725294096477,0.5646847512187769,5.0
G1,C,-0.020746656901208915,0.7744544288213093,7.0
G2,C,0.9907655684173048,0.9387869819075984,4.0
G2,C,1.6077170945708403,1.262878123667078,5.0
G2,C,-0.05508911019827378,0.6460924873009383,6.0
G2,B,1.4605515674928522,0.5029154717450346,5.0
G2,C,1.1269875417734736,0.6627197808020298,8.0
G1,B,-1.819833415610781,0.6816002285196556,6.0
G1,B,-0.7970420696997782,0.7698529494738777,6.0
G1,C,-0.5403473791485573,1.0325097507914118,4.0
G2,C,1.1209334809779878,0.7775286337685137,5.0
G1,C,-0.863540677619791,0.9399264349926599,5.0
G1,C,-1.53376365169404,0.7387972387533233,5.0
G2,A,0.08447083126038135,0.23898531565744963,7.0
G2,C,-0.32298803022255207,0.712933466365849,9.0
G1,D,0.648477736488299,0.9719313319302467,4.0
G1,C,-0.7783607980650384,0.8807786920039922,5.0
G1,B,-0.6001291228186622,0.4840465158230778,5.0
G2,A,1.901037045046987,0.4739280036965396,7.0
G1,B,-2.5167584950911195,0.4633853511671785,6.0
G1,C,0.6899994242820562,0.6942049548569532,5.0
G2,D,2.77634134665944,0.9915986238296671,5.0
G1,A,0.08713113353288571,0.3689941238530463,3.0
G2,B,1.6089925826566622,0.5033461977915015,4.0
G1,D,-2.2166956061892034,1.363620957705494,5.0
G1,C,-2.1888915559281177,1.120750344623033,5.0
G2,B,-0.19646884324549263,0.6135255771005623,6.0
G2,A,0.6046336299103711,0.4416281468271042,6.0
G2,C,-0.12642058883325946,0.9193274912323373,8.0
G2,A,1.0106161458429666,0.6165245530955386,5.0
G2,B,1.531323571852838,0.572125745331312,4.0
G1,D,-0.948123429500933,1.1002859660674853,4.0
G1,D,-2.0882130112945334,1.2749576165675263,6.0
G2,B,1.265857180036728,0.8765221208774137,3.0
G2,C,0.9281067029748009,0.8696486283104545,9.0
G1,D,-1.9548752569188141,1.1001383423365858,4.0
G2,B,0.9925103446301832,0.5664258892359345,9.0
G1,A,-1.2791504728303582,0.6668268346954698,4.0
G1,B,-1.3176675403256461,0.8641916037670873,6.0
G2,C,-0.3576814162487969,0.6538118234189008,5.0
G2,B,2.6358304497462264,0.926858506866672,3.0
G2,A,1.8486145901387254,0.5684274750770923,4.0
G2,A,1.035582541338087,0.4391303443153876,6.0
G2,D,0.01134601202619967,1.2986158150060003,9.0
G2,A,2.288074845895937,0.8627309399964624,6.0
G2,C,-0.0574504330296961,1.0304854336362324,8.0
G1,B,-2.4618885797542314,0.7102495070292855,11.0
G1,A,0.1818018404862345,0.2345427336148805,3.0
G1,B,0.016536087649164477,0.6861893624176205,5.0
