Period,G1,G2,State
E3,3.514501460553027,-1.3977309634808046,S3
E1,-2.1884115422099235,3.408299075997391,S1
E2,-0.31105416603169445,-3.0778315714828497,S2
E5,-0.9881996767947572,1.1534631187604325,S2
E3,0.46157032698089295,-2.1953678185276573,S2
E2,-1.7274614838006888,-0.7516328291173004,S1
E4,0.7150176263681056,0.8174240657064661,S2
E1,-2.410138618262466,1.7478151818858894,S1
E3,1.4694031783551234,-1.061567104578,S3
E4,2.738267048806817,1.112256926386777,S3
E4,2.9387943583563594,0.18234869892698657,S3
E2,-1.0602913196753634,-2.061237842460108,S1
E4,4.762292616071005,3.3076245914545113,S3
E3,0.7541076878361487,-3.3523553075222563,S2
E5,0.15024203232174058,0.30353772009823365,S2
E2,-1.36587315946024,-2.857086026906991,S1
E1,-1.4033632368307556,1.524178682552245,S1
E5,-0.36641533288101286,0.8296004958875353,S2
E2,-0.47917138160157513,-0.9244072886957089,S2
E5,0.30736052228555877,0.23984881381209908,S2
E3,0.6184129410490826,-2.2519412752738326,S2
E2,-0.8933378408377697,-0.9443818466229812,S2
E1,-1.2080388792480545,2.9535450001147794,S1
E5,1.0066837524217207,0.04617623551929309,S3
E1,-3.398471842854052,1.6054476906351112,S1
E2,0.0782717014090688,-2.6987279639822344,S2
E2,0.6309267355356583,-1.9509097614494204,S2
E4,2.6133474140773156,-0.5938187944155777,S3
E4,1.650047071362769,2.1604607107678273,S3
E1,-1.4968115317490418,1.3882074205876507,S1
E3,0.7428173800270361,-0.7031567127555571,S2
E3,-0.616392237969946,-1.8591327480913864,S2
E1,-1.8600306183512507,3.2417978541539325,S1
E2,-1.4468844699866816,-2.150509760238921,S1
E1,-2.981289279359978,2.5108078108690095,S1
E2,-0.18126678257606033,-1.0501531599174199,S2
E2,-0.5079555663814975,-0.8591224398305921,S2
E3,0.39816064131714557,-2.2155374546951774,S2
E3,1.5075243399127447,-1.0739842044181538,S3
E3,0.631134981741097,-1.415302781141495,S2
E4,1.868819168797786,1.6781274148315755,S3
E1,-1.835967333529436,2.498478972807781,S1
E2,-0.4673927717105023,-0.2845707055520199,S2
E1,-3.6706987683643595,2.243853420403055,S1
E4,4.103153004712958,2.5468353256693512,S3
E1,-3.0604291551521525,1.7745755175253064,S1
E1,-1.6267964446053735,1.128676502994899,S1
E3,0.9139784998006963,-2.277380366295795,S2
E5,0.19905633165288994,1.2915003298430991,S2
E3,1.3590675600862818,-0.890845701819985,S3
E5,-0.13049331050743326,0.4644288257434823,S2
E3,-0.16964434542042328,-0.8402021103674657,S2
E1,-2.13358505282506,1.3648628112886285,S1
E2,-0.5871248884267929,-3.5580955958273996,S2
E1,-2.2900784480351217,1.0551748911445615,S1
E2,-2.1975917002767837,-0.2025246817479831,S1
E4,2.49284535895734,0.6969130876517375,S3
E1,-1.0939002694859983,2.563249424880227,S1
E2,-2.8175120445391184,-1.9095134794618354,S1
E5,-0.6395243671471095,-0.17527347868915594,S2
E5,-0.3914948239734536,0.35808855273915996,S2
E4,1.6219743538519567,2.2525644168949066,S3
E5,1.2900223788981444,0.05647582434371104,S3
E3,1.9070686128741428,-0.7932081536240402,S3
E3,1.8077510972592843,-0.646122230819949,S3
E3,1.342932351644668,0.059558545208258984,S3
E4,1.5309103160828288,2.4729796829831834,S3
E1,-0.7015176585544678,0.5583131146872111,S2
E2,-0.7880406636782653,-2.485837076708462,S2
E5,-1.513143224112249,1.1354553548523567,S1
E5,0.1574419143682082,-0.6331792769853636,S2
E2,-0.6951196166853968,-1.5176996517708168,S2
E4,3.2826543768124594,1.8240158272375535,S3
E5,0.582758190659727,0.9505122426012338,S2
E3,1.9642318246868435,-0.9062938071378887,S3
E2,-0.20184948574658912,-1.9895121001811145,S2
E3,2.336726614545763,-0.8838636434494633,S3
E5,-0.7074675946163084,1.7822730721527795,S2
E4,0.8037334827758094,1.8459513814807855,S2
E1,-2.4662988418532628,1.887262649331322,S1
E4,4.331801928194249,-0.6727247689797204,S3
E3,1.9195067131966672,-1.412390362181906,S3
E2,-2.477836321284456,-2.553206211277696,S1
E4,1.8488500982940967,1.1559313447864406,S3
E3,1.3927690893126465,-1.0234581880161189,S3
E1,-2.4212094261984465,1.9094275668880472,S1
E4,1.9247638649427243,0.8787025875313651,S3
E1,-0.35030509821610867,1.4746419098583354,S2
E4,1.585982453660698,-1.7258687272042423,S3
