Category,X,Y,W,Z
High,1.3071701929895547,-0.7270680501541834,0.41903796611746014,-1.5211061219063189
High,-0.8476460390154541,1.2612239521833877,0.104818914432243,0.7926009957379268
High,1.377647640612953,-0.26375001550342553,-0.768470153750106,0.17137531549920917
Low,-0.2917497714572135,0.19184612730900852,0.3203632693202947,0.7812933815346585
High,0.29421833370433115,2.1364587022532566,-0.8199068698634129,4.203398747862375
High,-0.22105454431263816,-0.6143345003048858,0.6008603305649699,1.793557314321856
High,1.289603696923952,-1.2244957445928415,0.22575188175034952,1.0380801970295974
Low,1.839539188281437,1.2130674307771465,-0.9114525943512644,1.6565175452413534
Mid,0.8513449507374053,0.03059066561604493,0.1364052792286137,-1.7348132523687383
Mid,-0.03193503994507951,0.8077211405642152,0.9617355503423745,-0.10509670555504846
Mid,1.562324621597523,0.6387742223212146,-1.3450544988824327,0.5761653604011466
Mid,0.47086261236014737,-0.06923112533991112,-0.33606820316161423,1.4873907616302073
Low,-0.2811398634235194,0.36747905244800105,-0.5102883909241768,0.40563470501272636
Mid,-0.4783874173886753,-0.30522379189351884,0.314705760611211,0.5960177004743249
High,1.4642525099817592,-1.3942322851708722,-0.17860751087863957,2.3593992928771588
Mid,0.13422968938736313,-0.9462259751891721,-0.027039615086651196,0.730153101302143
High,0.7745014142717466,-1.5132388524508888,0.3719246285670418,3.1707296716838496
Low,1.296635760966657,0.8368687068408397,-1.2153882336268949,1.0375246290592164
High,-0.7259984201555754,1.830694306351608,1.2026158529201025,3.8838146249532
Mid,0.429543135580265,-1.7382649607880332,-0.44554420932955796,4.068408704944611
Low,0.08464286964073509,-1.1860365652360862,-0.9860834270312726,0.7430992341820946
High,1.0723500365061898,1.6538696395902235,1.828136064224235,2.453549580148476
Low,-0.9716231297865727,-0.0009117355296064091,0.09204646643626273,-0.05786860662819343
Mid,1.0163674584957891,3.0449399131720205,-0.41437639469433235,5.158037894438839
Mid,-1.7055998488434905,0.2524773247693941,2.3868121055881337,-0.3351558818249135
High,0.8832837273199328,-0.46472358685379345,1.9048757769141667,0.3037496352204399
High,0.16415751648663557,-0.7379880141444924,0.838966494403832,0.9072997763160702
High,0.33601635598664625,-0.6035848453171992,-1.919796461630981,-0.5088194208094882
High,1.6997709193097537,1.0994209198448075,-1.0206744753694987,2.0777947424841954
Low,-1.4481556718114925,-0.8087689973778411,0.6923747845656307,1.8810075577529322
High,0.19731214908984462,-0.6997726286878972,-0.3313903900463702,0.003134447399275264
High,0.5389143786302837,-0.04486165519394434,-1.496445602862249,-1.2848575945310972
High,0.19170472788432003,1.0958061800893268,0.3818707769817059,1.1845623844270132
Low,0.941746953468769,0.1607485387450303,0.38037610506127706,0.5354431923304278
High,0.9398009071982747,-2.013974534977037,-2.0091284408977854,4.013403491155473
High,-1.180672005551207,1.9777626655830902,0.206214271483645,3.0911054363184083
High,1.5408821512230335,-1.1682613313208665,1.158103836505382,2.3840683543964585
Mid,1.659163292015541,-1.080554179163097,-0.7302100795270109,2.3094769524890477
High,0.2490118481874326,-0.6928802188363954,-0.2414890672972952,0.2807161247253082
Mid,1.330141191449841,1.1833752723918218,-1.0019464536285982,1.1300095682416984
High,0.8723232819364424,0.8748471640163175,-0.7386980811735416,1.162691913501852
Mid,1.7886204095419842,-1.9288615275546936,-2.3255541405906333,5.884244056077575
High,-1.4704986224464718,-0.8609311412002258,-0.3472641995834907,-0.8591931100294184
High,1.6866624504419825,1.4804323901128382,-1.5434716081974873,2.073102435697167
Low,-1.35955822664753,1.3804498063788728,-0.005307248205137162,2.5861727039122653
High,-0.81905599380821,0.370544718293122,0.4974578051854093,0.329533237415368
Low,-0.3199827175899861,2.206702577750393,-0.2491361976850617,3.788497873622982
