Y,A,B
15.566994008956073,2.3104526183238385,"(0.003, 0.0526]"
11.374922931024711,1.1374335984347352,"(0.201, 0.25]"
7.151899205162891,-2.1788202193016453,"(0.201, 0.25]"
12.867216205353651,2.026888122929285,"(0.003, 0.0526]"
13.267777098848402,2.5807208082453355,"(0.151, 0.201]"
14.451797174356626,3.17369522624692,"(0.003, 0.0526]"
8.899665093165293,-0.2474104347432067,"(0.151, 0.201]"
7.779699897384021,-1.7366408381305818,"(0.151, 0.201]"
8.008065587339878,-1.710708586754169,"(0.201, 0.25]"
16.425231989767916,3.695494253316762,"(0.0526, 0.102]"
10.669644044289004,1.385391303349857,"(0.0526, 0.102]"
7.864460772511596,-1.7062050177280366,"(0.102, 0.151]"
11.967778657494431,0.5774071035056505,"(0.003, 0.0526]"
8.047069188298314,-1.4577074300755477,"(0.0526, 0.102]"
14.777191214099538,3.185489955678104,"(0.151, 0.201]"
5.394738414070433,-1.920970798954327,"(0.102, 0.151]"
15.225937730638236,2.694731524380351,"(0.201, 0.25]"
9.940320346782332,0.5881652613785695,"(0.003, 0.0526]"
8.38019036504315,-0.9563489362335836,"(0.151, 0.201]"
13.706109810154803,1.889235593605077,"(0.151, 0.201]"
10.922953246506252,0.9126232776413364,"(0.003, 0.0526]"
6.204085515736997,-2.390365057016394,"(0.151, 0.201]"
4.522398571090762,-2.749298208594216,"(0.102, 0.151]"
8.779605829834146,-1.2461078849124925,"(0.0526, 0.102]"
14.78516523320642,2.798720292467543,"(0.151, 0.201]"
6.4426788155418055,-2.111020480919675,"(0.102, 0.151]"
14.639255040207846,3.10484716436378,"(0.0526, 0.102]"
8.573625939862016,-1.7846394330977895,"(0.003, 0.0526]"
9.588347038695222,-0.9301373693371022,"(0.102, 0.151]"
7.233596783656511,-1.567146232716166,"(0.151, 0.201]"
13.943940737142976,2.109814709226553,"(0.003, 0.0526]"
5.443195353925407,-3.3859906166601696,"(0.201, 0.25]"
14.378314218213657,3.531081584906433,"(0.102, 0.151]"
9.584831129743575,-0.4232344151635219,"(0.102, 0.151]"
10.576235730000391,0.3013705667144656,"(0.201, 0.25]"
12.783140490472183,1.7760308086079235,"(0.003, 0.0526]"
9.148743776376556,-1.959182525707,"(0.201, 0.25]"
12.60502118464266,1.1777626297603685,"(0.003, 0.0526]"
14.874288596688348,2.294484948937794,"(0.102, 0.151]"
11.244514049422971,0.7132198664465546,"(0.003, 0.0526]"
9.744885230943076,-0.5904617595852164,"(0.201, 0.25]"
9.04838343402232,-0.7649201787664215,"(0.0526, 0.102]"
13.612984570413056,2.594891145472668,"(0.201, 0.25]"
7.155638712652504,-0.8657700460822084,"(0.151, 0.201]"
8.182760328539702,0.3736476512080201,"(0.003, 0.0526]"
11.18134471157055,1.2125474250961614,"(0.003, 0.0526]"
14.8467979697526,3.359055341073289,"(0.102, 0.151]"
12.76310864110644,1.818982005949093,"(0.102, 0.151]"
9.72802558475694,0.0451095727861523,"(0.0526, 0.102]"
13.22071229132739,0.8988863259610701,"(0.151, 0.201]"
10.400568629637892,0.994444047066508,"(0.201, 0.25]"
10.602323542628795,0.6561870518858467,"(0.102, 0.151]"
10.104636119241842,-0.7473188892501502,"(0.201, 0.25]"
6.839285998713389,-2.054796701213812,"(0.151, 0.201]"
13.466718453033184,2.345508863797772,"(0.003, 0.0526]"
9.746123692262609,-0.3151365836575435,"(0.0526, 0.102]"
13.149756891270478,2.375900226132128,"(0.151, 0.201]"
9.62218596728946,-0.218384928595448,"(0.151, 0.201]"
5.469005294481424,-2.7088533911591397,"(0.0526, 0.102]"
7.586869028648545,-1.7814182719764504,"(0.201, 0.25]"
11.40459131119248,0.3821256015971604,"(0.003, 0.0526]"
5.34481583632187,-2.437943753639487,"(0.102, 0.151]"
11.791967916193904,0.8270326504702086,"(0.0526, 0.102]"
13.545574647157755,2.5161846629806472,"(0.102, 0.151]"
13.33849591920474,1.511939717947488,"(0.003, 0.0526]"
10.618382120659586,0.0829618988001912,"(0.201, 0.25]"
11.191748790483429,0.5533882273660813,"(0.102, 0.151]"
11.335631721169804,1.2834009862234024,"(0.151, 0.201]"
10.911570086921529,0.3720179536380138,"(0.102, 0.151]"
13.875593027762632,3.1118641143437213,"(0.0526, 0.102]"
8.441762142613042,-2.768711489351161,"(0.003, 0.0526]"
3.70193346273627,-4.468698772984939,"(0.201, 0.25]"
13.506644714421729,1.904584593771264,"(0.0526, 0.102]"
11.65926418377076,0.5354577908169065,"(0.201, 0.25]"
9.215896340653794,-0.7325262963897803,"(0.003, 0.0526]"
4.750276955095149,-2.197410456894729,"(0.0526, 0.102]"
7.961269414428865,-1.9706337839266364,"(0.003, 0.0526]"
8.553187014079601,-0.9373256897584112,"(0.151, 0.201]"
15.0406691299871,2.0724600583248787,"(0.151, 0.201]"
12.645459982526448,1.7652543396698976,"(0.003, 0.0526]"
7.2271515074674255,-1.665247233309394,"(0.151, 0.201]"
10.365631404907344,1.093701357985378,"(0.003, 0.0526]"
13.107505315259882,0.9732697386592526,"(0.151, 0.201]"
12.83379502274532,0.3901320755241479,"(0.201, 0.25]"
14.159146327591904,2.777870485521014,"(0.151, 0.201]"
8.109445629197934,-0.7213899367954271,"(0.102, 0.151]"
14.406420318822564,3.0924195111713795,"(0.201, 0.25]"
7.379413127785583,-2.189455445001116,"(0.102, 0.151]"
13.029844751274458,2.3900194290514856,"(0.102, 0.151]"
9.362460561336428,0.4670190929757639,"(0.201, 0.25]"
14.583585590458416,2.652158944607793,"(0.003, 0.0526]"
10.138989436568544,0.7291757947008763,"(0.003, 0.0526]"
8.421692806275098,-1.1098842381355405,"(0.003, 0.0526]"
11.11270265775482,-0.0585553727162346,"(0.201, 0.25]"
