Z,Y,W
-1.5211061219063189,-0.7270680501541834,"(-0.321, 0.682]"
0.7926009957379268,1.2612239521833877,"(-0.321, 0.682]"
0.1713753154992091,-0.2637500155034255,"(-1.323, -0.321]"
0.7812933815346585,0.1918461273090085,"(-0.321, 0.682]"
4.203398747862375,2.1364587022532566,"(-1.323, -0.321]"
1.793557314321856,-0.6143345003048858,"(-0.321, 0.682]"
1.0380801970295974,-1.2244957445928415,"(-0.321, 0.682]"
1.6565175452413534,1.2130674307771463,"(-1.323, -0.321]"
-1.7348132523687383,0.0305906656160449,"(-0.321, 0.682]"
-0.1050967055550484,0.8077211405642152,"(0.682, 1.684]"
0.5761653604011466,0.6387742223212146,"(-2.331, -1.323]"
1.4873907616302071,-0.0692311253399111,"(-1.323, -0.321]"
0.4056347050127263,0.367479052448001,"(-1.323, -0.321]"
0.5960177004743249,-0.3052237918935188,"(-0.321, 0.682]"
2.3593992928771588,-1.3942322851708722,"(-0.321, 0.682]"
0.730153101302143,-0.946225975189172,"(-0.321, 0.682]"
3.1707296716838496,-1.5132388524508888,"(-0.321, 0.682]"
1.0375246290592164,0.8368687068408397,"(-1.323, -0.321]"
3.8838146249532,1.830694306351608,"(0.682, 1.684]"
4.068408704944611,-1.7382649607880332,"(-1.323, -0.321]"
0.7430992341820946,-1.1860365652360862,"(-1.323, -0.321]"
2.453549580148476,1.6538696395902237,"(1.684, 2.687]"
-0.0578686066281934,-0.0009117355296064,"(-0.321, 0.682]"
5.158037894438839,3.0449399131720205,"(-1.323, -0.321]"
-0.3351558818249135,0.2524773247693941,"(1.684, 2.687]"
0.3037496352204399,-0.4647235868537934,"(1.684, 2.687]"
0.9072997763160702,-0.7379880141444924,"(0.682, 1.684]"
-0.5088194208094882,-0.6035848453171992,"(-2.331, -1.323]"
2.0777947424841954,1.0994209198448075,"(-1.323, -0.321]"
1.881007557752932,-0.8087689973778411,"(0.682, 1.684]"
0.0031344473992752,-0.6997726286878972,"(-1.323, -0.321]"
-1.2848575945310972,-0.0448616551939443,"(-2.331, -1.323]"
1.1845623844270132,1.0958061800893268,"(-0.321, 0.682]"
0.5354431923304278,0.1607485387450303,"(-0.321, 0.682]"
4.013403491155473,-2.013974534977037,"(-2.331, -1.323]"
3.0911054363184083,1.9777626655830904,"(-0.321, 0.682]"
2.3840683543964585,-1.1682613313208663,"(0.682, 1.684]"
2.309476952489048,-1.080554179163097,"(-1.323, -0.321]"
0.2807161247253082,-0.6928802188363954,"(-0.321, 0.682]"
1.1300095682416984,1.1833752723918218,"(-1.323, -0.321]"
1.162691913501852,0.8748471640163175,"(-1.323, -0.321]"
5.884244056077575,-1.9288615275546936,"(-2.331, -1.323]"
-0.8591931100294184,-0.8609311412002258,"(-1.323, -0.321]"
2.073102435697167,1.4804323901128382,"(-2.331, -1.323]"
2.5861727039122653,1.3804498063788728,"(-0.321, 0.682]"
0.329533237415368,0.370544718293122,"(-0.321, 0.682]"
3.788497873622982,2.206702577750393,"(-0.321, 0.682]"
3.139405298572157,0.8400780535679664,"(-1.323, -0.321]"
1.2924541366637678,-0.8670072909906318,"(-0.321, 0.682]"
-0.6667195169492199,0.608487051745058,"(0.682, 1.684]"
4.184566889235745,1.8741808479479507,"(-1.323, -0.321]"
7.630623824644165,-2.497945817933384,"(-1.323, -0.321]"
0.669495281266552,0.0944874823561437,"(-0.321, 0.682]"
-1.5895758382945546,0.2190387083809357,"(-2.331, -1.323]"
3.312810476709891,1.520213411497383,"(-0.321, 0.682]"
0.633849812627427,0.2295044984941477,"(-0.321, 0.682]"
1.6241370127364632,0.8399317834814115,"(-0.321, 0.682]"
3.623784050528681,1.9302297850822112,"(0.682, 1.684]"
