W,Y,X
0.4190379661174601,-0.7270680501541834,"(1.194, 1.986]"
0.104818914432243,1.2612239521833877,"(-1.18, -0.388]"
-0.768470153750106,-0.2637500155034255,"(1.194, 1.986]"
0.3203632693202947,0.1918461273090085,"(-0.388, 0.403]"
-0.8199068698634129,2.1364587022532566,"(-0.388, 0.403]"
0.6008603305649699,-0.6143345003048858,"(-0.388, 0.403]"
0.2257518817503495,-1.2244957445928415,"(1.194, 1.986]"
-0.9114525943512644,1.2130674307771463,"(1.194, 1.986]"
0.1364052792286137,0.0305906656160449,"(0.403, 1.194]"
0.9617355503423743,0.8077211405642152,"(-0.388, 0.403]"
-1.345054498882433,0.6387742223212146,"(1.194, 1.986]"
-0.3360682031616142,-0.0692311253399111,"(0.403, 1.194]"
-0.5102883909241768,0.367479052448001,"(-0.388, 0.403]"
0.314705760611211,-0.3052237918935188,"(-1.18, -0.388]"
-0.1786075108786395,-1.3942322851708722,"(1.194, 1.986]"
-0.0270396150866511,-0.946225975189172,"(-0.388, 0.403]"
0.3719246285670418,-1.5132388524508888,"(0.403, 1.194]"
-1.2153882336268949,0.8368687068408397,"(1.194, 1.986]"
1.2026158529201023,1.830694306351608,"(-1.18, -0.388]"
-0.4455442093295579,-1.7382649607880332,"(0.403, 1.194]"
-0.9860834270312726,-1.1860365652360862,"(-0.388, 0.403]"
1.828136064224235,1.6538696395902237,"(0.403, 1.194]"
0.0920464664362627,-0.0009117355296064,"(-1.18, -0.388]"
-0.4143763946943323,3.0449399131720205,"(0.403, 1.194]"
2.3868121055881337,0.2524773247693941,"(-1.975, -1.18]"
1.9048757769141669,-0.4647235868537934,"(0.403, 1.194]"
0.838966494403832,-0.7379880141444924,"(-0.388, 0.403]"
-1.919796461630981,-0.6035848453171992,"(-0.388, 0.403]"
-1.0206744753694987,1.0994209198448075,"(1.194, 1.986]"
0.6923747845656307,-0.8087689973778411,"(-1.975, -1.18]"
-0.3313903900463702,-0.6997726286878972,"(-0.388, 0.403]"
-1.496445602862249,-0.0448616551939443,"(0.403, 1.194]"
0.3818707769817059,1.0958061800893268,"(-0.388, 0.403]"
0.380376105061277,0.1607485387450303,"(0.403, 1.194]"
-2.0091284408977854,-2.013974534977037,"(0.403, 1.194]"
0.206214271483645,1.9777626655830904,"(-1.975, -1.18]"
1.158103836505382,-1.1682613313208663,"(1.194, 1.986]"
-0.7302100795270109,-1.080554179163097,"(1.194, 1.986]"
-0.2414890672972952,-0.6928802188363954,"(-0.388, 0.403]"
-1.0019464536285982,1.1833752723918218,"(1.194, 1.986]"
-0.7386980811735416,0.8748471640163175,"(0.403, 1.194]"
-2.3255541405906333,-1.9288615275546936,"(1.194, 1.986]"
-0.3472641995834907,-0.8609311412002258,"(-1.975, -1.18]"
-1.5434716081974873,1.4804323901128382,"(1.194, 1.986]"
-0.0053072482051371,1.3804498063788728,"(-1.975, -1.18]"
0.4974578051854093,0.370544718293122,"(-1.18, -0.388]"
-0.2491361976850617,2.206702577750393,"(-0.388, 0.403]"
