           Z  C2=R  C2=S  C2=T
(1.06, 1.28]     8     0     0
(1.28, 1.50]     1     0     0
(1.50, 1.72]     3     0     0
(1.72, 1.94]     0     0     0
(1.94, 2.16]     1     1     0
(2.16, 2.38]     0     1     0
(2.38, 2.60]     0     2     0
(2.60, 2.82]     1     2     0
(2.82, 3.04]     2     3     0
(3.04, 3.26]     1     0     3
(3.26, 3.48]     1     1     3
(3.48, 3.70]     0     0     3
(3.70, 3.92]     0     0     4
(3.92, 4.14]     0     1     3
(4.14, 4.36]     0     0     1
(4.36, 4.58]     0     2     2
(4.58, 4.80]     0     0     1
(4.80, 5.02]     0     0     0
(5.02, 5.24]     1     0     0
(5.24, 5.46]     0     0     1
