           Z  C1=A  C1=B
(1.06, 1.28]     3     5
(1.28, 1.50]     1     0
(1.50, 1.72]     1     2
(1.72, 1.94]     0     0
(1.94, 2.16]     0     2
(2.16, 2.38]     1     0
(2.38, 2.60]     1     1
(2.60, 2.82]     0     3
(2.82, 3.04]     1     4
(3.04, 3.26]     3     1
(3.26, 3.48]     1     4
(3.48, 3.70]     1     2
(3.70, 3.92]     1     3
(3.92, 4.14]     2     2
(4.14, 4.36]     0     1
(4.36, 4.58]     0     4
(4.58, 4.80]     0     1
(4.80, 5.02]     0     0
(5.02, 5.24]     0     1
(5.24, 5.46]     1     0
