O,P
1.4646333265570943,5.0
1.2122374704138683,6.0
1.0004373743874282,6.0
1.075754948172941,8.0
1.4889680005851325,7.0
1.2968472449348725,8.0
1.1330303526870462,5.0
0.6408214345055554,4.0
0.9371844250883644,4.0
0.9817864321979182,6.0
1.058681209457634,7.0
1.1295844507927164,7.0
0.9780173892771168,8.0
0.8120887094487848,7.0
0.5238747617707702,2.0
0.8996392643797992,7.0
0.6483768808485764,7.0
0.922980610150648,2.0
0.8060566071377706,7.0
0.987774556565738,7.0
0.7898558311024144,7.0
1.0244627734506977,8.0
0.4999244478356678,2.0
1.0156158965000897,6.0
0.8885616175019624,8.0
1.1049028721685443,6.0
0.6995485451738999,4.0
0.7779616825937361,4.0
0.441580919140715,5.0
0.9269395766012032,6.0
0.7559908845256065,5.0
0.5082417535152417,5.0
0.3536925025711365,3.0
1.2868999546341966,4.0
0.9476605744092336,4.0
1.3551090697385626,5.0
0.930378258109045,9.0
1.272287653047269,6.0
0.8625181636845838,5.0
1.124784298572191,6.0
1.0080018583068209,5.0
1.5978710162488163,5.0
1.0167995433606063,8.0
0.7215796890291499,3.0
1.096490243743974,4.0
0.404164948402541,6.0
1.129175028794155,9.0
0.8704135802162463,7.0
0.6857293445566075,4.0
0.8402560397784735,5.0
1.240743705119412,8.0
0.8500546943727809,4.0
0.654709586520813,6.0
0.5441928971128114,5.0
0.5671088544778169,7.0
0.9550564857530393,8.0
0.9516266398048504,7.0
1.098176113483809,5.0
0.6902523728612395,7.0
1.0297240724026084,7.0
1.2154282906473135,7.0
1.2527111782939029,5.0
1.350320277327418,7.0
0.6016365628129676,9.0
1.054162722875187,4.0
1.2515915415614425,6.0
0.7226864894468388,10.0
0.9257932254744644,7.0
0.8474347855547456,9.0
0.8110484899949613,7.0
0.9432413452584232,9.0
0.6136096612207484,4.0
0.9573340443731104,4.0
1.151433014234699,4.0
1.1255239345631396,6.0
1.2737323050027345,6.0
1.12465594547768,4.0
1.0397295645767262,5.0
0.8765577969694693,4.0
1.1799311135423678,5.0
1.246821465175908,6.0
1.391164579909251,7.0
0.7711903110858933,5.0
1.0546282787894,5.0
0.821520415236066,6.0
1.211734315921439,6.0
0.5734443181625984,4.0
0.9177356613923866,12.0
1.4844246084715005,7.0
0.4504104838053221,7.0
1.1626823020530446,2.0
1.1094932376761042,7.0
0.8909243583724371,7.0
1.286732361582373,6.0
0.9384351408421918,6.0
0.8064827199241893,7.0
1.2192487716500626,10.0
1.1282525531906922,6.0
0.886498308391154,8.0
1.2933213177353229,7.0
0.7157928206339286,6.0
0.8427369526635944,4.0
0.8973338303081135,9.0
0.7583658535361951,4.0
1.0075319435373893,6.0
0.580913925823424,7.0
1.290921281084258,4.0
1.22424119054306,7.0
0.8445435774434206,4.0
1.2025939827227587,10.0
1.5913286839938126,7.0
0.8527719730233696,7.0
0.5843923144248904,2.0
1.293218656967559,6.0
0.8757276756008694,11.0
0.9538871363206254,4.0
1.245974462363038,6.0
1.152689980482771,7.0
0.6213344624725743,6.0
0.8930568021455889,8.0
0.7698560206247658,5.0
0.7834676708751163,5.0
0.9952650360940904,9.0
0.4892571224509818,4.0
0.3505120008376644,4.0
0.7945743560265986,6.0
0.948477063094228,5.0
0.712082047620159,3.0
1.254270915301599,3.0
0.6210790969748512,5.0
1.2473405809105194,5.0
1.4282274813686646,6.0
1.2120595649083037,5.0
0.6098462279866229,6.0
1.059457629191752,3.0
0.9932051622774476,7.0
0.8835642332840832,7.0
1.19579128563074,6.0
0.7349178001350065,7.0
0.8616055976349631,8.0
0.8197535268038116,5.0
0.8757711161118578,3.0
0.865805317010199,7.0
0.986242764064343,9.0
0.7194027474951907,6.0
0.6337052126039877,7.0
0.8927345646626392,5.0
0.9250373604572748,2.0
0.9817457525864144,4.0
0.951686059229546,6.0
0.8311351781311282,5.0
1.1525708093141198,6.0
