Y,A,X,C
15.566994008956073,2.3104526183238385,P12,'L3'
11.374922931024711,1.1374335984347352,P13,'L2'
7.151899205162891,-2.1788202193016453,P6,'L2'
12.867216205353651,2.026888122929285,P13,'L2'
13.267777098848402,2.5807208082453355,P13,'L2'
14.451797174356626,3.17369522624692,P12,'L3'
8.899665093165293,-0.2474104347432067,P16,'L2'
7.779699897384021,-1.7366408381305818,P2,'L1'
8.008065587339878,-1.710708586754169,P6,'L2'
16.425231989767916,3.695494253316762,P14,'L2'
10.669644044289004,1.385391303349857,P10,'L3'
7.864460772511596,-1.7062050177280366,P6,'L2'
11.967778657494431,0.5774071035056505,P1,'L1'
8.047069188298314,-1.4577074300755477,P6,'L2'
14.777191214099538,3.185489955678104,P1,'L1'
5.394738414070433,-1.920970798954327,P3,'L1'
15.225937730638236,2.694731524380351,P12,'L3'
9.940320346782332,0.5881652613785695,P10,'L3'
8.38019036504315,-0.9563489362335836,P5,'L2'
13.706109810154803,1.889235593605077,P12,'L3'
10.922953246506252,0.9126232776413364,P13,'L2'
6.204085515736997,-2.390365057016394,P5,'L2'
4.522398571090762,-2.749298208594216,P2,'L1'
8.779605829834146,-1.2461078849124925,P8,'L2'
14.78516523320642,2.798720292467543,P13,'L2'
6.4426788155418055,-2.111020480919675,P3,'L1'
14.639255040207846,3.10484716436378,P1,'L1'
8.573625939862016,-1.7846394330977895,P3,'L1'
9.588347038695222,-0.9301373693371022,P7,'L2'
7.233596783656511,-1.567146232716166,P8,'L2'
13.943940737142976,2.109814709226553,P11,'L3'
5.443195353925407,-3.3859906166601696,P5,'L2'
14.378314218213657,3.531081584906433,P13,'L2'
9.584831129743575,-0.4232344151635219,P16,'L2'
10.576235730000391,0.3013705667144656,P8,'L2'
12.783140490472183,1.7760308086079235,P11,'L3'
9.148743776376556,-1.959182525707,P5,'L2'
12.60502118464266,1.1777626297603685,P16,'L2'
14.874288596688348,2.294484948937794,P10,'L3'
11.244514049422971,0.7132198664465546,P15,'L2'
9.744885230943076,-0.5904617595852164,P6,'L2'
9.04838343402232,-0.7649201787664215,P16,'L2'
13.612984570413056,2.594891145472668,P8,'L2'
7.155638712652504,-0.8657700460822084,P6,'L2'
8.182760328539702,0.3736476512080201,P16,'L2'
11.18134471157055,1.2125474250961614,P13,'L2'
14.8467979697526,3.359055341073289,P11,'L3'
12.76310864110644,1.818982005949093,P11,'L3'
9.72802558475694,0.0451095727861523,P8,'L2'
13.22071229132739,0.8988863259610701,P10,'L3'
10.400568629637892,0.994444047066508,P10,'L3'
10.602323542628795,0.6561870518858467,P1,'L1'
10.104636119241842,-0.7473188892501502,P2,'L1'
6.839285998713389,-2.054796701213812,P4,'L1'
13.466718453033184,2.345508863797772,P13,'L2'
9.746123692262609,-0.3151365836575435,P11,'L3'
13.149756891270478,2.375900226132128,P12,'L3'
9.62218596728946,-0.218384928595448,P11,'L3'
5.469005294481424,-2.7088533911591397,P4,'L1'
7.586869028648545,-1.7814182719764504,P6,'L2'
11.40459131119248,0.3821256015971604,P9,'L3'
5.34481583632187,-2.437943753639487,P4,'L1'
11.791967916193904,0.8270326504702086,P13,'L2'
13.545574647157755,2.5161846629806472,P13,'L2'
13.33849591920474,1.511939717947488,P10,'L3'
10.618382120659586,0.0829618988001912,P16,'L2'
11.191748790483429,0.5533882273660813,P9,'L3'
11.335631721169804,1.2834009862234024,P9,'L3'
10.911570086921529,0.3720179536380138,P14,'L2'
13.875593027762632,3.1118641143437213,P13,'L2'
8.441762142613042,-2.768711489351161,P5,'L2'
3.70193346273627,-4.468698772984939,P3,'L1'
13.506644714421729,1.904584593771264,P11,'L3'
11.65926418377076,0.5354577908169065,P7,'L2'
9.215896340653794,-0.7325262963897803,P1,'L1'
4.750276955095149,-2.197410456894729,P3,'L1'
7.961269414428865,-1.9706337839266364,P2,'L1'
8.553187014079601,-0.9373256897584112,P3,'L1'
15.0406691299871,2.0724600583248787,P10,'L3'
12.645459982526448,1.7652543396698976,P11,'L3'
7.2271515074674255,-1.665247233309394,P16,'L2'
10.365631404907344,1.093701357985378,P11,'L3'
13.107505315259882,0.9732697386592526,P15,'L2'
12.83379502274532,0.3901320755241479,P14,'L2'
14.159146327591904,2.777870485521014,P13,'L2'
8.109445629197934,-0.7213899367954271,P7,'L2'
14.406420318822564,3.0924195111713795,P11,'L3'
7.379413127785583,-2.189455445001116,P3,'L1'
13.029844751274458,2.3900194290514856,P11,'L3'
9.362460561336428,0.4670190929757639,P9,'L3'
14.583585590458416,2.652158944607793,P1,'L1'
10.138989436568544,0.7291757947008763,P7,'L2'
8.421692806275098,-1.1098842381355405,P2,'L1'
11.11270265775482,-0.0585553727162346,P8,'L2'
