Z,Y,C1
2.9666740936456684,2.747509188461194,B
2.9875688007185346,2.7772785665770248,B
3.66139822531931,1.3968164451904448,B
3.337771918067657,-0.5495225899380665,A
2.2440321222488437,0.1467033691047248,A
3.9485277750785137,0.2908773986546983,A
2.9953504912301527,2.259539725497138,B
1.1942138287979869,-0.0135812675425193,A
3.091261235119338,1.7280561876470697,B
1.069003882577659,2.199259075867651,B
3.05832127635435,-0.2045698318294679,A
2.9401591766026,2.843520624604523,B
3.8415501290183736,1.605027304863698,B
5.204925205009278,2.1772154203894134,B
3.6211014885381343,0.0851183683684455,A
1.3834368998720317,0.4063323097791366,A
4.152550427088996,2.67383526000088,B
1.511289056832775,1.916816998126034,B
4.500139741405776,1.4806025144581114,B
1.2712077121204253,1.7453405256736665,B
2.001775811530245,2.1472268672296813,B
5.456058461758427,0.425928135012583,A
4.424988854835943,1.800827044806756,B
4.4325647195252245,1.3019743495134493,B
1.081038838742474,1.6038744726253698,B
1.168773405618531,-0.6018061645164624,A
3.113924643063897,-0.3600689850542654,A
4.038310290082379,1.8246181286720904,B
1.2474671513960904,2.636217598492126,B
1.1066416320491983,2.6401635012599485,B
2.4797702205906984,0.0933799473198992,A
3.472996289340849,2.784663667195523,B
2.6873533576669586,2.3650106982875068,B
3.394754897947259,2.583790306447151,B
3.701619368453979,2.166704413727392,B
3.779972747883115,1.310056699113226,A
3.5100845824364533,1.7452558355625496,B
4.0526102322418645,-0.4905679038776409,A
4.741455442107572,1.792886075272604,B
1.073755290955872,-0.2798567280592719,A
4.01971385998279,1.7425299162543877,B
1.5360597741587123,-0.6883301091065478,A
1.599587752510924,2.2096325363156493,B
2.795183888539689,1.333806265657964,B
2.914288488927949,0.7587782015536333,A
1.055577486534986,0.9693355670181236,B
3.914064988995256,2.564983289402556,B
3.447562754944584,1.624260480838824,B
4.482975471313333,2.1303619619151952,B
2.790116593435071,1.8483110457504777,B
2.0940690529533628,1.2311537227699645,B
2.473028953052072,2.183638434603121,B
3.4446911357161536,2.475975183976754,B
3.0761359984450443,0.0530578833778947,A
