Z,W,Category
-1.5211061219063189,0.4190379661174601,High
0.7926009957379268,0.104818914432243,High
0.1713753154992091,-0.768470153750106,High
0.7812933815346585,0.3203632693202947,Low
4.203398747862375,-0.8199068698634129,High
1.793557314321856,0.6008603305649699,High
1.0380801970295974,0.2257518817503495,High
1.6565175452413534,-0.9114525943512644,Low
-1.7348132523687383,0.1364052792286137,Mid
-0.1050967055550484,0.9617355503423743,Mid
0.5761653604011466,-1.345054498882433,Mid
1.4873907616302071,-0.3360682031616142,Mid
0.4056347050127263,-0.5102883909241768,Low
0.5960177004743249,0.314705760611211,Mid
2.3593992928771588,-0.1786075108786395,High
0.730153101302143,-0.0270396150866511,Mid
3.1707296716838496,0.3719246285670418,High
1.0375246290592164,-1.2153882336268949,Low
3.8838146249532,1.2026158529201023,High
4.068408704944611,-0.4455442093295579,Mid
0.7430992341820946,-0.9860834270312726,Low
2.453549580148476,1.828136064224235,High
-0.0578686066281934,0.0920464664362627,Low
5.158037894438839,-0.4143763946943323,Mid
-0.3351558818249135,2.3868121055881337,Mid
0.3037496352204399,1.9048757769141669,High
0.9072997763160702,0.838966494403832,High
-0.5088194208094882,-1.919796461630981,High
2.0777947424841954,-1.0206744753694987,High
1.881007557752932,0.6923747845656307,Low
0.0031344473992752,-0.3313903900463702,High
-1.2848575945310972,-1.496445602862249,High
1.1845623844270132,0.3818707769817059,High
0.5354431923304278,0.380376105061277,Low
4.013403491155473,-2.0091284408977854,High
3.0911054363184083,0.206214271483645,High
2.3840683543964585,1.158103836505382,High
2.309476952489048,-0.7302100795270109,Mid
0.2807161247253082,-0.2414890672972952,High
1.1300095682416984,-1.0019464536285982,Mid
1.162691913501852,-0.7386980811735416,High
5.884244056077575,-2.3255541405906333,Mid
-0.8591931100294184,-0.3472641995834907,High
2.073102435697167,-1.5434716081974873,High
2.5861727039122653,-0.0053072482051371,Low
0.329533237415368,0.4974578051854093,High
3.788497873622982,-0.2491361976850617,Low
3.139405298572157,-0.9938222809352912,High
1.2924541366637678,0.1376052912034436,Low
-0.6667195169492199,0.9732756772555656,Mid
4.184566889235745,-0.7033812293023372,Mid
7.630623824644165,-0.7133731048869166,Low
0.669495281266552,0.3927834202906051,Low
-1.5895758382945546,-1.45249487867414,Low
3.312810476709891,0.3612742624306599,Low
0.633849812627427,0.1505445134113773,High
1.6241370127364632,0.2713050260062471,Mid
3.623784050528681,1.1994031466858168,High
1.4380529791052437,-0.8054283573486993,Mid
2.0050236566597777,0.0086316571747996,Low
2.830110213080258,-0.68096929527559,Low
2.357047055062564,0.4443913743677685,Mid
1.5876547638669416,-0.22390799796008,Mid
0.0843509244442598,-0.1425469476827097,High
4.077212309707992,-0.1705299487076119,Mid
-0.4883758580618953,0.0769063071255796,Low
2.3758092097698373,0.9626267276494642,High
1.177070117077008,0.3472013898534346,Low
1.050079918411423,-0.1538307338907202,High
1.0049831490709882,-0.4996800149343728,High
-0.54139005298083,2.613912352180212,Mid
2.217851898851917,-0.2631285185354064,High
0.4650885549631727,0.3224278131775026,High
0.3902859969232188,-1.0187643093759926,Mid
0.0649823508894435,0.0389269404844501,Mid
0.5598405337619834,0.7067382275542391,High
