X,W,Z
1.3071701929895547,0.4190379661174601,"(-1.752, 1.612]"
-0.8476460390154541,0.104818914432243,"(-1.752, 1.612]"
1.377647640612953,-0.768470153750106,"(-1.752, 1.612]"
-0.2917497714572135,0.3203632693202947,"(-1.752, 1.612]"
0.2942183337043311,-0.8199068698634129,"(1.612, 4.959]"
-0.2210545443126381,0.6008603305649699,"(1.612, 4.959]"
1.289603696923952,0.2257518817503495,"(-1.752, 1.612]"
1.839539188281437,-0.9114525943512644,"(1.612, 4.959]"
0.8513449507374053,0.1364052792286137,"(-1.752, 1.612]"
-0.0319350399450795,0.9617355503423743,"(-1.752, 1.612]"
1.562324621597523,-1.345054498882433,"(-1.752, 1.612]"
0.4708626123601473,-0.3360682031616142,"(-1.752, 1.612]"
-0.2811398634235194,-0.5102883909241768,"(-1.752, 1.612]"
-0.4783874173886753,0.314705760611211,"(-1.752, 1.612]"
1.4642525099817592,-0.1786075108786395,"(1.612, 4.959]"
0.1342296893873631,-0.0270396150866511,"(-1.752, 1.612]"
0.7745014142717466,0.3719246285670418,"(1.612, 4.959]"
1.296635760966657,-1.2153882336268949,"(-1.752, 1.612]"
-0.7259984201555754,1.2026158529201023,"(1.612, 4.959]"
0.429543135580265,-0.4455442093295579,"(1.612, 4.959]"
0.084642869640735,-0.9860834270312726,"(-1.752, 1.612]"
1.0723500365061898,1.828136064224235,"(1.612, 4.959]"
-0.9716231297865728,0.0920464664362627,"(-1.752, 1.612]"
1.0163674584957891,-0.4143763946943323,"(4.959, 8.306]"
-1.7055998488434905,2.3868121055881337,"(-1.752, 1.612]"
0.8832837273199328,1.9048757769141669,"(-1.752, 1.612]"
0.1641575164866355,0.838966494403832,"(-1.752, 1.612]"
0.3360163559866462,-1.919796461630981,"(-1.752, 1.612]"
1.6997709193097537,-1.0206744753694987,"(1.612, 4.959]"
-1.4481556718114923,0.6923747845656307,"(1.612, 4.959]"
0.1973121490898446,-0.3313903900463702,"(-1.752, 1.612]"
0.5389143786302837,-1.496445602862249,"(-1.752, 1.612]"
0.19170472788432,0.3818707769817059,"(-1.752, 1.612]"
0.941746953468769,0.380376105061277,"(-1.752, 1.612]"
0.9398009071982748,-2.0091284408977854,"(1.612, 4.959]"
-1.180672005551207,0.206214271483645,"(1.612, 4.959]"
1.5408821512230335,1.158103836505382,"(1.612, 4.959]"
1.659163292015541,-0.7302100795270109,"(1.612, 4.959]"
0.2490118481874326,-0.2414890672972952,"(-1.752, 1.612]"
1.330141191449841,-1.0019464536285982,"(-1.752, 1.612]"
0.8723232819364424,-0.7386980811735416,"(-1.752, 1.612]"
1.7886204095419842,-2.3255541405906333,"(4.959, 8.306]"
-1.4704986224464718,-0.3472641995834907,"(-1.752, 1.612]"
1.6866624504419825,-1.5434716081974873,"(1.612, 4.959]"
-1.35955822664753,-0.0053072482051371,"(1.612, 4.959]"
-0.81905599380821,0.4974578051854093,"(-1.752, 1.612]"
-0.3199827175899861,-0.2491361976850617,"(1.612, 4.959]"
-1.1035019505206711,-0.9938222809352912,"(1.612, 4.959]"
1.2896063680187368,0.1376052912034436,"(-1.752, 1.612]"
-1.5373527479505815,0.9732756772555656,"(-1.752, 1.612]"
-0.806578082191939,-0.7033812293023372,"(1.612, 4.959]"
0.5531870722428232,-0.7133731048869166,"(4.959, 8.306]"
0.709173056909477,0.3927834202906051,"(-1.752, 1.612]"
0.1883359358355321,-1.45249487867414,"(-1.752, 1.612]"
-1.9694348121877847,0.3612742624306599,"(1.612, 4.959]"
-1.732986045504557,0.1505445134113773,"(-1.752, 1.612]"
1.2136679336408438,0.2713050260062471,"(1.612, 4.959]"
0.7877940401592136,1.1994031466858168,"(1.612, 4.959]"
-1.4283380093606777,-0.8054283573486993,"(-1.752, 1.612]"
-1.3153362543403673,0.0086316571747996,"(1.612, 4.959]"
-1.380025328162422,-0.68096929527559,"(1.612, 4.959]"
1.3130079927712963,0.4443913743677685,"(1.612, 4.959]"
-1.259798198924916,-0.22390799796008,"(-1.752, 1.612]"
-0.1961144977923421,-0.1425469476827097,"(-1.752, 1.612]"
