X,Z,W
1.3071701929895547,-1.5211061219063189,"(-0.321, 0.682]"
-0.8476460390154541,0.7926009957379268,"(-0.321, 0.682]"
1.377647640612953,0.1713753154992091,"(-1.323, -0.321]"
-0.2917497714572135,0.7812933815346585,"(-0.321, 0.682]"
0.2942183337043311,4.203398747862375,"(-1.323, -0.321]"
-0.2210545443126381,1.793557314321856,"(-0.321, 0.682]"
1.289603696923952,1.0380801970295974,"(-0.321, 0.682]"
1.839539188281437,1.6565175452413534,"(-1.323, -0.321]"
0.8513449507374053,-1.7348132523687383,"(-0.321, 0.682]"
-0.0319350399450795,-0.1050967055550484,"(0.682, 1.684]"
1.562324621597523,0.5761653604011466,"(-2.331, -1.323]"
0.4708626123601473,1.4873907616302071,"(-1.323, -0.321]"
-0.2811398634235194,0.4056347050127263,"(-1.323, -0.321]"
-0.4783874173886753,0.5960177004743249,"(-0.321, 0.682]"
1.4642525099817592,2.3593992928771588,"(-0.321, 0.682]"
0.1342296893873631,0.730153101302143,"(-0.321, 0.682]"
0.7745014142717466,3.1707296716838496,"(-0.321, 0.682]"
1.296635760966657,1.0375246290592164,"(-1.323, -0.321]"
-0.7259984201555754,3.8838146249532,"(0.682, 1.684]"
0.429543135580265,4.068408704944611,"(-1.323, -0.321]"
0.084642869640735,0.7430992341820946,"(-1.323, -0.321]"
1.0723500365061898,2.453549580148476,"(1.684, 2.687]"
-0.9716231297865728,-0.0578686066281934,"(-0.321, 0.682]"
1.0163674584957891,5.158037894438839,"(-1.323, -0.321]"
-1.7055998488434905,-0.3351558818249135,"(1.684, 2.687]"
0.8832837273199328,0.3037496352204399,"(1.684, 2.687]"
0.1641575164866355,0.9072997763160702,"(0.682, 1.684]"
0.3360163559866462,-0.5088194208094882,"(-2.331, -1.323]"
1.6997709193097537,2.0777947424841954,"(-1.323, -0.321]"
-1.4481556718114923,1.881007557752932,"(0.682, 1.684]"
0.1973121490898446,0.0031344473992752,"(-1.323, -0.321]"
0.5389143786302837,-1.2848575945310972,"(-2.331, -1.323]"
0.19170472788432,1.1845623844270132,"(-0.321, 0.682]"
0.941746953468769,0.5354431923304278,"(-0.321, 0.682]"
0.9398009071982748,4.013403491155473,"(-2.331, -1.323]"
-1.180672005551207,3.0911054363184083,"(-0.321, 0.682]"
1.5408821512230335,2.3840683543964585,"(0.682, 1.684]"
1.659163292015541,2.309476952489048,"(-1.323, -0.321]"
0.2490118481874326,0.2807161247253082,"(-0.321, 0.682]"
1.330141191449841,1.1300095682416984,"(-1.323, -0.321]"
0.8723232819364424,1.162691913501852,"(-1.323, -0.321]"
1.7886204095419842,5.884244056077575,"(-2.331, -1.323]"
-1.4704986224464718,-0.8591931100294184,"(-1.323, -0.321]"
1.6866624504419825,2.073102435697167,"(-2.331, -1.323]"
-1.35955822664753,2.5861727039122653,"(-0.321, 0.682]"
-0.81905599380821,0.329533237415368,"(-0.321, 0.682]"
-0.3199827175899861,3.788497873622982,"(-0.321, 0.682]"
-1.1035019505206711,3.139405298572157,"(-1.323, -0.321]"
1.2896063680187368,1.2924541366637678,"(-0.321, 0.682]"
-1.5373527479505815,-0.6667195169492199,"(0.682, 1.684]"
-0.806578082191939,4.184566889235745,"(-1.323, -0.321]"
0.5531870722428232,7.630623824644165,"(-1.323, -0.321]"
0.709173056909477,0.669495281266552,"(-0.321, 0.682]"
0.1883359358355321,-1.5895758382945546,"(-2.331, -1.323]"
-1.9694348121877847,3.312810476709891,"(-0.321, 0.682]"
-1.732986045504557,0.633849812627427,"(-0.321, 0.682]"
1.2136679336408438,1.6241370127364632,"(-0.321, 0.682]"
0.7877940401592136,3.623784050528681,"(0.682, 1.684]"
-1.4283380093606777,1.4380529791052437,"(-1.323, -0.321]"
-1.3153362543403673,2.0050236566597777,"(-0.321, 0.682]"
-1.380025328162422,2.830110213080258,"(-1.323, -0.321]"
1.3130079927712963,2.357047055062564,"(-0.321, 0.682]"
-1.259798198924916,1.5876547638669416,"(-0.321, 0.682]"
-0.1961144977923421,0.0843509244442598,"(-0.321, 0.682]"
-1.4469582601809727,4.077212309707992,"(-0.321, 0.682]"
-1.86980523890162,-0.4883758580618953,"(-0.321, 0.682]"
1.2260608274176996,2.3758092097698373,"(0.682, 1.684]"
-0.8489433326753302,1.177070117077008,"(-0.321, 0.682]"
-1.2733280911957952,1.050079918411423,"(-0.321, 0.682]"
0.8342935156937701,1.0049831490709882,"(-1.323, -0.321]"
