             X  Category=High  Category=Low  Category=Mid
(-1.97, -1.71]              3             4             5
(-1.71, -1.44]              2             2             3
(-1.44, -1.18]              2             5             4
(-1.18, -0.92]              4             3             1
(-0.92, -0.65]              5             5             1
(-0.65, -0.39]              1             3             4
(-0.39, -0.12]              4             7             1
 (-0.12, 0.14]              2             2             2
  (0.14, 0.40]              9             6             2
  (0.40, 0.67]              3             3             2
  (0.67, 0.93]              6             4             2
  (0.93, 1.19]              5             1             4
  (1.19, 1.46]              5             3             5
  (1.46, 1.72]              4             0             2
  (1.72, 1.99]              1             2             1
