X,Y,Z
1.3071701929895547,-0.7270680501541834,"(-1.752, 1.612]"
-0.8476460390154541,1.2612239521833877,"(-1.752, 1.612]"
1.377647640612953,-0.2637500155034255,"(-1.752, 1.612]"
-0.2917497714572135,0.1918461273090085,"(-1.752, 1.612]"
0.2942183337043311,2.1364587022532566,"(1.612, 4.959]"
-0.2210545443126381,-0.6143345003048858,"(1.612, 4.959]"
1.289603696923952,-1.2244957445928415,"(-1.752, 1.612]"
1.839539188281437,1.2130674307771463,"(1.612, 4.959]"
0.8513449507374053,0.0305906656160449,"(-1.752, 1.612]"
-0.0319350399450795,0.8077211405642152,"(-1.752, 1.612]"
1.562324621597523,0.6387742223212146,"(-1.752, 1.612]"
0.4708626123601473,-0.0692311253399111,"(-1.752, 1.612]"
-0.2811398634235194,0.367479052448001,"(-1.752, 1.612]"
-0.4783874173886753,-0.3052237918935188,"(-1.752, 1.612]"
1.4642525099817592,-1.3942322851708722,"(1.612, 4.959]"
0.1342296893873631,-0.946225975189172,"(-1.752, 1.612]"
0.7745014142717466,-1.5132388524508888,"(1.612, 4.959]"
1.296635760966657,0.8368687068408397,"(-1.752, 1.612]"
-0.7259984201555754,1.830694306351608,"(1.612, 4.959]"
0.429543135580265,-1.7382649607880332,"(1.612, 4.959]"
0.084642869640735,-1.1860365652360862,"(-1.752, 1.612]"
1.0723500365061898,1.6538696395902237,"(1.612, 4.959]"
-0.9716231297865728,-0.0009117355296064,"(-1.752, 1.612]"
1.0163674584957891,3.0449399131720205,"(4.959, 8.306]"
-1.7055998488434905,0.2524773247693941,"(-1.752, 1.612]"
0.8832837273199328,-0.4647235868537934,"(-1.752, 1.612]"
0.1641575164866355,-0.7379880141444924,"(-1.752, 1.612]"
0.3360163559866462,-0.6035848453171992,"(-1.752, 1.612]"
1.6997709193097537,1.0994209198448075,"(1.612, 4.959]"
-1.4481556718114923,-0.8087689973778411,"(1.612, 4.959]"
0.1973121490898446,-0.6997726286878972,"(-1.752, 1.612]"
0.5389143786302837,-0.0448616551939443,"(-1.752, 1.612]"
0.19170472788432,1.0958061800893268,"(-1.752, 1.612]"
0.941746953468769,0.1607485387450303,"(-1.752, 1.612]"
0.9398009071982748,-2.013974534977037,"(1.612, 4.959]"
-1.180672005551207,1.9777626655830904,"(1.612, 4.959]"
1.5408821512230335,-1.1682613313208663,"(1.612, 4.959]"
1.659163292015541,-1.080554179163097,"(1.612, 4.959]"
0.2490118481874326,-0.6928802188363954,"(-1.752, 1.612]"
1.330141191449841,1.1833752723918218,"(-1.752, 1.612]"
0.8723232819364424,0.8748471640163175,"(-1.752, 1.612]"
1.7886204095419842,-1.9288615275546936,"(4.959, 8.306]"
-1.4704986224464718,-0.8609311412002258,"(-1.752, 1.612]"
1.6866624504419825,1.4804323901128382,"(1.612, 4.959]"
-1.35955822664753,1.3804498063788728,"(1.612, 4.959]"
-0.81905599380821,0.370544718293122,"(-1.752, 1.612]"
-0.3199827175899861,2.206702577750393,"(1.612, 4.959]"
-1.1035019505206711,0.8400780535679664,"(1.612, 4.959]"
1.2896063680187368,-0.8670072909906318,"(-1.752, 1.612]"
-1.5373527479505815,0.608487051745058,"(-1.752, 1.612]"
-0.806578082191939,1.8741808479479507,"(1.612, 4.959]"
0.5531870722428232,-2.497945817933384,"(4.959, 8.306]"
0.709173056909477,0.0944874823561437,"(-1.752, 1.612]"
0.1883359358355321,0.2190387083809357,"(-1.752, 1.612]"
-1.9694348121877847,1.520213411497383,"(1.612, 4.959]"
-1.732986045504557,0.2295044984941477,"(-1.752, 1.612]"
1.2136679336408438,0.8399317834814115,"(1.612, 4.959]"
0.7877940401592136,1.9302297850822112,"(1.612, 4.959]"
-1.4283380093606777,1.424147366792633,"(-1.752, 1.612]"
-1.3153362543403673,-0.2535014969315464,"(1.612, 4.959]"
-1.380025328162422,1.4157116036853623,"(1.612, 4.959]"
1.3130079927712963,1.4343127382490453,"(1.612, 4.959]"
