             A  C='L1'  C='L2'  C='L3'
(-4.47, -3.92]       0       0       0
(-3.92, -3.38]       0       1       0
(-3.38, -2.84]       0       0       0
(-2.84, -2.29]       3       2       0
(-2.29, -1.75]       7       3       0
(-1.75, -1.20]       1       6       0
(-1.20, -0.66]       4       5       0
(-0.66, -0.11]       0       3       2
 (-0.11, 0.43]       0       7       1
  (0.43, 0.97]       2       6       4
  (0.97, 1.52]       0       3       5
  (1.52, 2.06]       0       1       5
  (2.06, 2.61]       0       4       6
  (2.61, 3.15]       2       3       2
  (3.15, 3.70]       1       2       2
