Y,B,X,C
15.566994008956073,0.0203593766196119,P12,'L3'
11.374922931024711,0.2096289553394443,P13,'L2'
7.151899205162891,0.2032814082519488,P6,'L2'
12.867216205353651,0.0174414531035153,P13,'L2'
13.267777098848402,0.1870863162231354,P13,'L2'
14.451797174356626,0.0380210760892257,P12,'L3'
8.899665093165293,0.1801662439811875,P16,'L2'
7.779699897384021,0.1607022225787186,P2,'L1'
8.008065587339878,0.2499356900901881,P6,'L2'
16.425231989767916,0.0836560735902395,P14,'L2'
10.669644044289004,0.0594858934380129,P10,'L3'
7.864460772511596,0.1295560900095383,P6,'L2'
11.967778657494431,0.0071214118701137,P1,'L1'
8.047069188298314,0.0928262806808987,P6,'L2'
14.777191214099538,0.1767150894948897,P1,'L1'
5.394738414070433,0.1250518380305225,P3,'L1'
15.225937730638236,0.2154167183504851,P12,'L3'
9.940320346782332,0.0378795796671341,P10,'L3'
8.38019036504315,0.1820994457646918,P5,'L2'
13.706109810154803,0.1591068819551523,P12,'L3'
10.922953246506252,0.0253945876485457,P13,'L2'
6.204085515736997,0.1537794894375101,P5,'L2'
4.522398571090762,0.1048306600326024,P2,'L1'
8.779605829834146,0.0923034731266393,P8,'L2'
14.78516523320642,0.1608734400308301,P13,'L2'
6.4426788155418055,0.1468113767723461,P3,'L1'
14.639255040207846,0.0765626049131002,P1,'L1'
8.573625939862016,0.0517057624698847,P3,'L1'
9.588347038695222,0.1180943513813341,P7,'L2'
7.233596783656511,0.1527449513760664,P8,'L2'
13.943940737142976,0.0499540185143007,P11,'L3'
5.443195353925407,0.245767874779685,P5,'L2'
14.378314218213657,0.1151675541625498,P13,'L2'
9.584831129743575,0.1218393073486343,P16,'L2'
10.576235730000391,0.2207434662366234,P8,'L2'
12.783140490472183,0.050680459559173,P11,'L3'
9.148743776376556,0.2208259101513942,P5,'L2'
12.60502118464266,0.0325594697025835,P16,'L2'
14.874288596688348,0.1263170599910319,P10,'L3'
11.244514049422971,0.008999018734096,P15,'L2'
9.744885230943076,0.2481420911556957,P6,'L2'
9.04838343402232,0.0586760708212365,P16,'L2'
13.612984570413056,0.2038124520518456,P8,'L2'
7.155638712652504,0.1829988715238147,P6,'L2'
8.182760328539702,0.0090002421014919,P16,'L2'
11.18134471157055,0.0076518625228029,P13,'L2'
14.8467979697526,0.1467602588744934,P11,'L3'
12.76310864110644,0.1433960181030761,P11,'L3'
9.72802558475694,0.0706296299013927,P8,'L2'
13.22071229132739,0.1525989484897957,P10,'L3'
10.400568629637892,0.2185494621777628,P10,'L3'
10.602323542628795,0.1121280519255349,P1,'L1'
10.104636119241842,0.2219110951694855,P2,'L1'
6.839285998713389,0.153324899028591,P4,'L1'
13.466718453033184,0.0430547793183325,P13,'L2'
9.746123692262609,0.0603147322848325,P11,'L3'
13.149756891270478,0.1727543248085772,P12,'L3'
9.62218596728946,0.1986643595485068,P11,'L3'
5.469005294481424,0.0575787380836957,P4,'L1'
7.586869028648545,0.2419380388965924,P6,'L2'
11.40459131119248,0.0421962943076132,P9,'L3'
5.34481583632187,0.1349438574372756,P4,'L1'
11.791967916193904,0.0714330110450067,P13,'L2'
13.545574647157755,0.1511292934655524,P13,'L2'
13.33849591920474,0.0125784723255768,P10,'L3'
10.618382120659586,0.2322724012106304,P16,'L2'
11.191748790483429,0.1503312648878953,P9,'L3'
11.335631721169804,0.1901907952223451,P9,'L3'
10.911570086921529,0.124726991227314,P14,'L2'
13.875593027762632,0.0619826112689498,P13,'L2'
8.441762142613042,0.0032492408912481,P5,'L2'
3.70193346273627,0.2367934050608338,P3,'L1'
13.506644714421729,0.0701618595009655,P11,'L3'
11.65926418377076,0.2307679158386729,P7,'L2'
9.215896340653794,0.0520364955713687,P1,'L1'
4.750276955095149,0.089488719995007,P3,'L1'
7.961269414428865,0.0227421499563162,P2,'L1'
8.553187014079601,0.1584935407896163,P3,'L1'
15.0406691299871,0.1523836801541435,P10,'L3'
12.645459982526448,0.0373467767599696,P11,'L3'
7.2271515074674255,0.1877909740608679,P16,'L2'
10.365631404907344,0.0378087866160317,P11,'L3'
13.107505315259882,0.1804587156976484,P15,'L2'
12.83379502274532,0.2423939340670747,P14,'L2'
14.159146327591904,0.1578001641712929,P13,'L2'
8.109445629197934,0.149508317780187,P7,'L2'
14.406420318822564,0.237067046569279,P11,'L3'
7.379413127785583,0.1082007017526922,P3,'L1'
13.029844751274458,0.1108941012075956,P11,'L3'
9.362460561336428,0.2064931146912198,P9,'L3'
14.583585590458416,0.0514845835919434,P1,'L1'
10.138989436568544,0.0519445496575427,P7,'L2'
8.421692806275098,0.0048688209643389,P2,'L1'
11.11270265775482,0.247623730166222,P8,'L2'
