Z,X,W
-1.5211061219063189,1.3071701929895547,"(-0.321, 0.682]"
0.7926009957379268,-0.8476460390154541,"(-0.321, 0.682]"
0.1713753154992091,1.377647640612953,"(-1.323, -0.321]"
0.7812933815346585,-0.2917497714572135,"(-0.321, 0.682]"
4.203398747862375,0.2942183337043311,"(-1.323, -0.321]"
1.793557314321856,-0.2210545443126381,"(-0.321, 0.682]"
1.0380801970295974,1.289603696923952,"(-0.321, 0.682]"
1.6565175452413534,1.839539188281437,"(-1.323, -0.321]"
-1.7348132523687383,0.8513449507374053,"(-0.321, 0.682]"
-0.1050967055550484,-0.0319350399450795,"(0.682, 1.684]"
0.5761653604011466,1.562324621597523,"(-2.331, -1.323]"
1.4873907616302071,0.4708626123601473,"(-1.323, -0.321]"
0.4056347050127263,-0.2811398634235194,"(-1.323, -0.321]"
0.5960177004743249,-0.4783874173886753,"(-0.321, 0.682]"
2.3593992928771588,1.4642525099817592,"(-0.321, 0.682]"
0.730153101302143,0.1342296893873631,"(-0.321, 0.682]"
3.1707296716838496,0.7745014142717466,"(-0.321, 0.682]"
1.0375246290592164,1.296635760966657,"(-1.323, -0.321]"
3.8838146249532,-0.7259984201555754,"(0.682, 1.684]"
4.068408704944611,0.429543135580265,"(-1.323, -0.321]"
0.7430992341820946,0.084642869640735,"(-1.323, -0.321]"
2.453549580148476,1.0723500365061898,"(1.684, 2.687]"
-0.0578686066281934,-0.9716231297865728,"(-0.321, 0.682]"
5.158037894438839,1.0163674584957891,"(-1.323, -0.321]"
-0.3351558818249135,-1.7055998488434905,"(1.684, 2.687]"
0.3037496352204399,0.8832837273199328,"(1.684, 2.687]"
0.9072997763160702,0.1641575164866355,"(0.682, 1.684]"
-0.5088194208094882,0.3360163559866462,"(-2.331, -1.323]"
2.0777947424841954,1.6997709193097537,"(-1.323, -0.321]"
1.881007557752932,-1.4481556718114923,"(0.682, 1.684]"
0.0031344473992752,0.1973121490898446,"(-1.323, -0.321]"
-1.2848575945310972,0.5389143786302837,"(-2.331, -1.323]"
1.1845623844270132,0.19170472788432,"(-0.321, 0.682]"
0.5354431923304278,0.941746953468769,"(-0.321, 0.682]"
4.013403491155473,0.9398009071982748,"(-2.331, -1.323]"
3.0911054363184083,-1.180672005551207,"(-0.321, 0.682]"
2.3840683543964585,1.5408821512230335,"(0.682, 1.684]"
2.309476952489048,1.659163292015541,"(-1.323, -0.321]"
0.2807161247253082,0.2490118481874326,"(-0.321, 0.682]"
1.1300095682416984,1.330141191449841,"(-1.323, -0.321]"
1.162691913501852,0.8723232819364424,"(-1.323, -0.321]"
5.884244056077575,1.7886204095419842,"(-2.331, -1.323]"
