Z,X,C1
2.9666740936456684,0.6695218267465242,B
2.9875688007185346,0.9940755158422956,B
3.66139822531931,2.468713980606652,B
3.337771918067657,0.2246522609482792,A
2.2440321222488437,-1.2509195144365026,A
3.9485277750785137,-0.5205264711354445,A
2.9953504912301527,1.7905031491129306,B
1.1942138287979869,0.788771139413746,A
3.091261235119338,1.0746169336631262,B
1.069003882577659,-1.101580011901111,B
3.05832127635435,-2.6797493997336543,A
2.9401591766026,0.6039555137848684,B
3.8415501290183736,0.5503980581930343,B
5.204925205009278,-0.457149032182983,B
3.6211014885381343,-0.6849358224907842,A
1.3834368998720317,-1.1570986821956737,A
4.152550427088996,0.0898773539858586,B
1.511289056832775,2.6655063739810902,B
4.500139741405776,1.187398505261895,B
1.2712077121204253,1.3595482801550518,B
2.001775811530245,0.5882826417081561,B
5.456058461758427,-2.4473119810747868,A
4.424988854835943,2.196331034172043,B
4.4325647195252245,0.0030348228166471,B
1.081038838742474,1.737397967860825,B
1.168773405618531,-1.3296809426610248,A
3.113924643063897,-3.1537902581944266,A
4.038310290082379,-0.1243561656382692,B
1.2474671513960904,0.6825968234447191,B
1.1066416320491983,-0.4075843913681229,B
2.4797702205906984,0.3741058933583352,A
3.472996289340849,1.907005021765157,B
2.6873533576669586,1.9711656190109423,B
3.394754897947259,2.22009970068743,B
3.701619368453979,2.759368902903938,B
3.779972747883115,-0.5786857438107671,A
3.5100845824364533,2.14012467410247,B
4.0526102322418645,-0.8953411958071532,A
4.741455442107572,1.6823986315132773,B
1.073755290955872,-0.6472051617932069,A
4.01971385998279,0.798716440435487,B
1.5360597741587123,-1.544704134216357,A
1.599587752510924,1.8633714856755776,B
2.795183888539689,1.6288421436840108,B
2.914288488927949,-0.9683021336654172,A
1.055577486534986,1.5774281780800352,B
3.914064988995256,1.47939008602714,B
3.447562754944584,0.3094527928142784,B
4.482975471313333,0.926453544671432,B
2.790116593435071,1.277189112042788,B
2.0940690529533628,0.2138493975880188,B
2.473028953052072,1.5903226524109622,B
3.4446911357161536,1.2624813850911314,B
3.0761359984450443,1.2768728114092638,A
