W,X,Y
0.4190379661174601,1.3071701929895547,"(-0.774, 0.499]"
0.104818914432243,-0.8476460390154541,"(0.499, 1.772]"
-0.768470153750106,1.377647640612953,"(-0.774, 0.499]"
0.3203632693202947,-0.2917497714572135,"(-0.774, 0.499]"
-0.8199068698634129,0.2942183337043311,"(1.772, 3.045]"
0.6008603305649699,-0.2210545443126381,"(-0.774, 0.499]"
0.2257518817503495,1.289603696923952,"(-2.047, -0.774]"
-0.9114525943512644,1.839539188281437,"(0.499, 1.772]"
0.1364052792286137,0.8513449507374053,"(-0.774, 0.499]"
0.9617355503423743,-0.0319350399450795,"(0.499, 1.772]"
-1.345054498882433,1.562324621597523,"(0.499, 1.772]"
-0.3360682031616142,0.4708626123601473,"(-0.774, 0.499]"
-0.5102883909241768,-0.2811398634235194,"(-0.774, 0.499]"
0.314705760611211,-0.4783874173886753,"(-0.774, 0.499]"
-0.1786075108786395,1.4642525099817592,"(-2.047, -0.774]"
-0.0270396150866511,0.1342296893873631,"(-2.047, -0.774]"
0.3719246285670418,0.7745014142717466,"(-2.047, -0.774]"
-1.2153882336268949,1.296635760966657,"(0.499, 1.772]"
1.2026158529201023,-0.7259984201555754,"(1.772, 3.045]"
-0.4455442093295579,0.429543135580265,"(-2.047, -0.774]"
-0.9860834270312726,0.084642869640735,"(-2.047, -0.774]"
1.828136064224235,1.0723500365061898,"(0.499, 1.772]"
0.0920464664362627,-0.9716231297865728,"(-0.774, 0.499]"
-0.4143763946943323,1.0163674584957891,"(1.772, 3.045]"
2.3868121055881337,-1.7055998488434905,"(-0.774, 0.499]"
1.9048757769141669,0.8832837273199328,"(-0.774, 0.499]"
0.838966494403832,0.1641575164866355,"(-0.774, 0.499]"
-1.919796461630981,0.3360163559866462,"(-0.774, 0.499]"
-1.0206744753694987,1.6997709193097537,"(0.499, 1.772]"
0.6923747845656307,-1.4481556718114923,"(-2.047, -0.774]"
-0.3313903900463702,0.1973121490898446,"(-0.774, 0.499]"
-1.496445602862249,0.5389143786302837,"(-0.774, 0.499]"
0.3818707769817059,0.19170472788432,"(0.499, 1.772]"
0.380376105061277,0.941746953468769,"(-0.774, 0.499]"
-2.0091284408977854,0.9398009071982748,"(-2.047, -0.774]"
0.206214271483645,-1.180672005551207,"(1.772, 3.045]"
1.158103836505382,1.5408821512230335,"(-2.047, -0.774]"
-0.7302100795270109,1.659163292015541,"(-2.047, -0.774]"
-0.2414890672972952,0.2490118481874326,"(-0.774, 0.499]"
-1.0019464536285982,1.330141191449841,"(0.499, 1.772]"
-0.7386980811735416,0.8723232819364424,"(0.499, 1.772]"
-2.3255541405906333,1.7886204095419842,"(-2.047, -0.774]"
-0.3472641995834907,-1.4704986224464718,"(-2.047, -0.774]"
-1.5434716081974873,1.6866624504419825,"(0.499, 1.772]"
-0.0053072482051371,-1.35955822664753,"(0.499, 1.772]"
0.4974578051854093,-0.81905599380821,"(-0.774, 0.499]"
-0.2491361976850617,-0.3199827175899861,"(1.772, 3.045]"
-0.9938222809352912,-1.1035019505206711,"(0.499, 1.772]"
0.1376052912034436,1.2896063680187368,"(-2.047, -0.774]"
0.9732756772555656,-1.5373527479505815,"(0.499, 1.772]"
-0.7033812293023372,-0.806578082191939,"(1.772, 3.045]"
-0.7133731048869166,0.5531870722428232,"(-3.326, -2.047]"
0.3927834202906051,0.709173056909477,"(-0.774, 0.499]"
-1.45249487867414,0.1883359358355321,"(-0.774, 0.499]"
0.3612742624306599,-1.9694348121877847,"(0.499, 1.772]"
0.1505445134113773,-1.732986045504557,"(-0.774, 0.499]"
0.2713050260062471,1.2136679336408438,"(0.499, 1.772]"
