A,Y,C,X
2.3104526183238385,15.566994008956073,'L3',P12
1.1374335984347352,11.374922931024711,'L2',P13
-2.1788202193016453,7.151899205162891,'L2',P6
2.026888122929285,12.867216205353651,'L2',P13
2.5807208082453355,13.267777098848402,'L2',P13
3.17369522624692,14.451797174356626,'L3',P12
-0.2474104347432067,8.899665093165293,'L2',P16
-1.7366408381305818,7.779699897384021,'L1',P2
-1.710708586754169,8.008065587339878,'L2',P6
3.695494253316762,16.425231989767916,'L2',P14
1.385391303349857,10.669644044289004,'L3',P10
-1.7062050177280366,7.864460772511596,'L2',P6
0.5774071035056505,11.967778657494431,'L1',P1
-1.4577074300755477,8.047069188298314,'L2',P6
3.185489955678104,14.777191214099538,'L1',P1
-1.920970798954327,5.394738414070433,'L1',P3
2.694731524380351,15.225937730638236,'L3',P12
0.5881652613785695,9.940320346782332,'L3',P10
-0.9563489362335836,8.38019036504315,'L2',P5
1.889235593605077,13.706109810154803,'L3',P12
0.9126232776413364,10.922953246506252,'L2',P13
-2.390365057016394,6.204085515736997,'L2',P5
-2.749298208594216,4.522398571090762,'L1',P2
-1.2461078849124925,8.779605829834146,'L2',P8
2.798720292467543,14.78516523320642,'L2',P13
-2.111020480919675,6.4426788155418055,'L1',P3
3.10484716436378,14.639255040207846,'L1',P1
-1.7846394330977895,8.573625939862016,'L1',P3
-0.9301373693371022,9.588347038695222,'L2',P7
-1.567146232716166,7.233596783656511,'L2',P8
2.109814709226553,13.943940737142976,'L3',P11
-3.3859906166601696,5.443195353925407,'L2',P5
3.531081584906433,14.378314218213657,'L2',P13
-0.4232344151635219,9.584831129743575,'L2',P16
0.3013705667144656,10.576235730000391,'L2',P8
1.7760308086079235,12.783140490472183,'L3',P11
-1.959182525707,9.148743776376556,'L2',P5
1.1777626297603685,12.60502118464266,'L2',P16
2.294484948937794,14.874288596688348,'L3',P10
0.7132198664465546,11.244514049422971,'L2',P15
-0.5904617595852164,9.744885230943076,'L2',P6
-0.7649201787664215,9.04838343402232,'L2',P16
2.594891145472668,13.612984570413056,'L2',P8
-0.8657700460822084,7.155638712652504,'L2',P6
0.3736476512080201,8.182760328539702,'L2',P16
1.2125474250961614,11.18134471157055,'L2',P13
3.359055341073289,14.8467979697526,'L3',P11
1.818982005949093,12.76310864110644,'L3',P11
0.0451095727861523,9.72802558475694,'L2',P8
0.8988863259610701,13.22071229132739,'L3',P10
0.994444047066508,10.400568629637892,'L3',P10
0.6561870518858467,10.602323542628795,'L1',P1
-0.7473188892501502,10.104636119241842,'L1',P2
-2.054796701213812,6.839285998713389,'L1',P4
2.345508863797772,13.466718453033184,'L2',P13
-0.3151365836575435,9.746123692262609,'L3',P11
2.375900226132128,13.149756891270478,'L3',P12
-0.218384928595448,9.62218596728946,'L3',P11
-2.7088533911591397,5.469005294481424,'L1',P4
-1.7814182719764504,7.586869028648545,'L2',P6
0.3821256015971604,11.40459131119248,'L3',P9
-2.437943753639487,5.34481583632187,'L1',P4
0.8270326504702086,11.791967916193904,'L2',P13
2.5161846629806472,13.545574647157755,'L2',P13
1.511939717947488,13.33849591920474,'L3',P10
0.0829618988001912,10.618382120659586,'L2',P16
0.5533882273660813,11.191748790483429,'L3',P9
1.2834009862234024,11.335631721169804,'L3',P9
0.3720179536380138,10.911570086921529,'L2',P14
3.1118641143437213,13.875593027762632,'L2',P13
-2.768711489351161,8.441762142613042,'L2',P5
-4.468698772984939,3.70193346273627,'L1',P3
1.904584593771264,13.506644714421729,'L3',P11
0.5354577908169065,11.65926418377076,'L2',P7
-0.7325262963897803,9.215896340653794,'L1',P1
-2.197410456894729,4.750276955095149,'L1',P3
-1.9706337839266364,7.961269414428865,'L1',P2
-0.9373256897584112,8.553187014079601,'L1',P3
2.0724600583248787,15.0406691299871,'L3',P10
1.7652543396698976,12.645459982526448,'L3',P11
-1.665247233309394,7.2271515074674255,'L2',P16
1.093701357985378,10.365631404907344,'L3',P11
0.9732697386592526,13.107505315259882,'L2',P15
0.3901320755241479,12.83379502274532,'L2',P14
2.777870485521014,14.159146327591904,'L2',P13
-0.7213899367954271,8.109445629197934,'L2',P7
3.0924195111713795,14.406420318822564,'L3',P11
-2.189455445001116,7.379413127785583,'L1',P3
2.3900194290514856,13.029844751274458,'L3',P11
0.4670190929757639,9.362460561336428,'L3',P9
2.652158944607793,14.583585590458416,'L1',P1
0.7291757947008763,10.138989436568544,'L2',P7
-1.1098842381355405,8.421692806275098,'L1',P2
-0.0585553727162346,11.11270265775482,'L2',P8
