Y,W,X
-0.7270680501541834,0.4190379661174601,"(1.194, 1.986]"
1.2612239521833877,0.104818914432243,"(-1.18, -0.388]"
-0.2637500155034255,-0.768470153750106,"(1.194, 1.986]"
0.1918461273090085,0.3203632693202947,"(-0.388, 0.403]"
2.1364587022532566,-0.8199068698634129,"(-0.388, 0.403]"
-0.6143345003048858,0.6008603305649699,"(-0.388, 0.403]"
-1.2244957445928415,0.2257518817503495,"(1.194, 1.986]"
1.2130674307771463,-0.9114525943512644,"(1.194, 1.986]"
0.0305906656160449,0.1364052792286137,"(0.403, 1.194]"
0.8077211405642152,0.9617355503423743,"(-0.388, 0.403]"
0.6387742223212146,-1.345054498882433,"(1.194, 1.986]"
-0.0692311253399111,-0.3360682031616142,"(0.403, 1.194]"
0.367479052448001,-0.5102883909241768,"(-0.388, 0.403]"
-0.3052237918935188,0.314705760611211,"(-1.18, -0.388]"
-1.3942322851708722,-0.1786075108786395,"(1.194, 1.986]"
-0.946225975189172,-0.0270396150866511,"(-0.388, 0.403]"
-1.5132388524508888,0.3719246285670418,"(0.403, 1.194]"
0.8368687068408397,-1.2153882336268949,"(1.194, 1.986]"
1.830694306351608,1.2026158529201023,"(-1.18, -0.388]"
-1.7382649607880332,-0.4455442093295579,"(0.403, 1.194]"
-1.1860365652360862,-0.9860834270312726,"(-0.388, 0.403]"
1.6538696395902237,1.828136064224235,"(0.403, 1.194]"
-0.0009117355296064,0.0920464664362627,"(-1.18, -0.388]"
3.0449399131720205,-0.4143763946943323,"(0.403, 1.194]"
0.2524773247693941,2.3868121055881337,"(-1.975, -1.18]"
-0.4647235868537934,1.9048757769141669,"(0.403, 1.194]"
-0.7379880141444924,0.838966494403832,"(-0.388, 0.403]"
-0.6035848453171992,-1.919796461630981,"(-0.388, 0.403]"
1.0994209198448075,-1.0206744753694987,"(1.194, 1.986]"
-0.8087689973778411,0.6923747845656307,"(-1.975, -1.18]"
-0.6997726286878972,-0.3313903900463702,"(-0.388, 0.403]"
-0.0448616551939443,-1.496445602862249,"(0.403, 1.194]"
1.0958061800893268,0.3818707769817059,"(-0.388, 0.403]"
0.1607485387450303,0.380376105061277,"(0.403, 1.194]"
-2.013974534977037,-2.0091284408977854,"(0.403, 1.194]"
1.9777626655830904,0.206214271483645,"(-1.975, -1.18]"
-1.1682613313208663,1.158103836505382,"(1.194, 1.986]"
-1.080554179163097,-0.7302100795270109,"(1.194, 1.986]"
-0.6928802188363954,-0.2414890672972952,"(-0.388, 0.403]"
1.1833752723918218,-1.0019464536285982,"(1.194, 1.986]"
0.8748471640163175,-0.7386980811735416,"(0.403, 1.194]"
-1.9288615275546936,-2.3255541405906333,"(1.194, 1.986]"
-0.8609311412002258,-0.3472641995834907,"(-1.975, -1.18]"
