             P  M=0  M=1  M=2
  (2.00, 2.50]    0    0    0
  (2.50, 3.00]    6    0    0
  (3.00, 3.50]    0    0    0
  (3.50, 4.00]    9   13    2
  (4.00, 4.50]    0    0    0
  (4.50, 5.00]   10   12    4
  (5.00, 5.50]    0    0    0
  (5.50, 6.00]    5   17    9
  (6.00, 6.50]    0    0    0
  (6.50, 7.00]   10   16    9
  (7.00, 7.50]    0    0    0
  (7.50, 8.00]    4    3    4
  (8.00, 8.50]    0    0    0
  (8.50, 9.00]    1    2    5
  (9.00, 9.50]    0    0    0
 (9.50, 10.00]    0    1    2
(10.00, 10.50]    0    0    0
(10.50, 11.00]    0    0    1
(11.00, 11.50]    0    0    0
(11.50, 12.00]    0    0    1
