B,A,C,X
0.0203593766196119,2.3104526183238385,'L3',P12
0.2096289553394443,1.1374335984347352,'L2',P13
0.2032814082519488,-2.1788202193016453,'L2',P6
0.0174414531035153,2.026888122929285,'L2',P13
0.1870863162231354,2.5807208082453355,'L2',P13
0.0380210760892257,3.17369522624692,'L3',P12
0.1801662439811875,-0.2474104347432067,'L2',P16
0.1607022225787186,-1.7366408381305818,'L1',P2
0.2499356900901881,-1.710708586754169,'L2',P6
0.0836560735902395,3.695494253316762,'L2',P14
0.0594858934380129,1.385391303349857,'L3',P10
0.1295560900095383,-1.7062050177280366,'L2',P6
0.0071214118701137,0.5774071035056505,'L1',P1
0.0928262806808987,-1.4577074300755477,'L2',P6
0.1767150894948897,3.185489955678104,'L1',P1
0.1250518380305225,-1.920970798954327,'L1',P3
0.2154167183504851,2.694731524380351,'L3',P12
0.0378795796671341,0.5881652613785695,'L3',P10
0.1820994457646918,-0.9563489362335836,'L2',P5
0.1591068819551523,1.889235593605077,'L3',P12
0.0253945876485457,0.9126232776413364,'L2',P13
0.1537794894375101,-2.390365057016394,'L2',P5
0.1048306600326024,-2.749298208594216,'L1',P2
0.0923034731266393,-1.2461078849124925,'L2',P8
0.1608734400308301,2.798720292467543,'L2',P13
0.1468113767723461,-2.111020480919675,'L1',P3
0.0765626049131002,3.10484716436378,'L1',P1
0.0517057624698847,-1.7846394330977895,'L1',P3
0.1180943513813341,-0.9301373693371022,'L2',P7
0.1527449513760664,-1.567146232716166,'L2',P8
0.0499540185143007,2.109814709226553,'L3',P11
0.245767874779685,-3.3859906166601696,'L2',P5
0.1151675541625498,3.531081584906433,'L2',P13
0.1218393073486343,-0.4232344151635219,'L2',P16
0.2207434662366234,0.3013705667144656,'L2',P8
0.050680459559173,1.7760308086079235,'L3',P11
0.2208259101513942,-1.959182525707,'L2',P5
0.0325594697025835,1.1777626297603685,'L2',P16
0.1263170599910319,2.294484948937794,'L3',P10
0.008999018734096,0.7132198664465546,'L2',P15
0.2481420911556957,-0.5904617595852164,'L2',P6
0.0586760708212365,-0.7649201787664215,'L2',P16
0.2038124520518456,2.594891145472668,'L2',P8
0.1829988715238147,-0.8657700460822084,'L2',P6
0.0090002421014919,0.3736476512080201,'L2',P16
0.0076518625228029,1.2125474250961614,'L2',P13
0.1467602588744934,3.359055341073289,'L3',P11
0.1433960181030761,1.818982005949093,'L3',P11
0.0706296299013927,0.0451095727861523,'L2',P8
0.1525989484897957,0.8988863259610701,'L3',P10
0.2185494621777628,0.994444047066508,'L3',P10
0.1121280519255349,0.6561870518858467,'L1',P1
0.2219110951694855,-0.7473188892501502,'L1',P2
0.153324899028591,-2.054796701213812,'L1',P4
0.0430547793183325,2.345508863797772,'L2',P13
0.0603147322848325,-0.3151365836575435,'L3',P11
0.1727543248085772,2.375900226132128,'L3',P12
0.1986643595485068,-0.218384928595448,'L3',P11
0.0575787380836957,-2.7088533911591397,'L1',P4
0.2419380388965924,-1.7814182719764504,'L2',P6
0.0421962943076132,0.3821256015971604,'L3',P9
0.1349438574372756,-2.437943753639487,'L1',P4
0.0714330110450067,0.8270326504702086,'L2',P13
0.1511292934655524,2.5161846629806472,'L2',P13
0.0125784723255768,1.511939717947488,'L3',P10
0.2322724012106304,0.0829618988001912,'L2',P16
0.1503312648878953,0.5533882273660813,'L3',P9
0.1901907952223451,1.2834009862234024,'L3',P9
0.124726991227314,0.3720179536380138,'L2',P14
0.0619826112689498,3.1118641143437213,'L2',P13
0.0032492408912481,-2.768711489351161,'L2',P5
0.2367934050608338,-4.468698772984939,'L1',P3
0.0701618595009655,1.904584593771264,'L3',P11
0.2307679158386729,0.5354577908169065,'L2',P7
0.0520364955713687,-0.7325262963897803,'L1',P1
0.089488719995007,-2.197410456894729,'L1',P3
0.0227421499563162,-1.9706337839266364,'L1',P2
0.1584935407896163,-0.9373256897584112,'L1',P3
0.1523836801541435,2.0724600583248787,'L3',P10
0.0373467767599696,1.7652543396698976,'L3',P11
0.1877909740608679,-1.665247233309394,'L2',P16
0.0378087866160317,1.093701357985378,'L3',P11
0.1804587156976484,0.9732697386592526,'L2',P15
0.2423939340670747,0.3901320755241479,'L2',P14
0.1578001641712929,2.777870485521014,'L2',P13
0.149508317780187,-0.7213899367954271,'L2',P7
0.237067046569279,3.0924195111713795,'L3',P11
0.1082007017526922,-2.189455445001116,'L1',P3
0.1108941012075956,2.3900194290514856,'L3',P11
0.2064931146912198,0.4670190929757639,'L3',P9
0.0514845835919434,2.652158944607793,'L1',P1
0.0519445496575427,0.7291757947008763,'L2',P7
0.0048688209643389,-1.1098842381355405,'L1',P2
0.247623730166222,-0.0585553727162346,'L2',P8
