             Y  Category=High  Category=Low  Category=Mid
(-3.32, -2.68]              0             0             0
(-2.68, -2.05]              0             2             0
(-2.05, -1.41]              2             1             2
(-1.41, -0.77]              9             5             7
(-0.77, -0.14]             15            12             4
 (-0.14, 0.50]              9             9            11
  (0.50, 1.14]             12             8             7
  (1.14, 1.77]              5             9             4
  (1.77, 2.41]              5             3             3
  (2.41, 3.04]              0             0             1
