O,N,M
1.4646333265570943,1.4714887922366762,2
1.2122374704138683,1.4632567149523086,2
1.0004373743874282,-0.1687058455990099,1
1.075754948172941,2.3904081130489025,2
1.4889680005851325,1.5840303140998857,2
1.2968472449348725,0.3334713525495992,1
1.1330303526870462,-1.769538454709544,0
0.6408214345055554,0.0371249060391802,1
0.9371844250883644,0.6425181711619885,1
0.9817864321979182,0.3989679339229259,1
1.058681209457634,2.2682477692220906,2
1.1295844507927164,1.9504323605489575,2
0.9780173892771168,2.4333454661115805,2
0.8120887094487848,0.010719803685177,1
0.5238747617707702,-1.8849761096973636,0
0.8996392643797992,-2.282636001002833,0
0.6483768808485764,-0.657953856474244,1
0.922980610150648,-2.4526988515807147,0
0.8060566071377706,-0.4129857453397031,1
0.987774556565738,-0.3612777000537729,1
0.7898558311024144,0.3767298920768547,1
1.0244627734506977,0.4838544272234633,1
0.4999244478356678,-1.9642663710180008,0
1.0156158965000897,-0.4294917262646306,1
0.8885616175019624,-2.699387804710582,0
1.1049028721685443,0.7408753122031935,2
0.6995485451738999,-2.3245355107847794,0
0.7779616825937361,-2.0612866493940767,0
0.441580919140715,-2.381940535011401,0
0.9269395766012032,-0.601693212265421,1
0.7559908845256065,0.7263688236761798,1
0.5082417535152417,-2.110610514711645,0
0.3536925025711365,-3.137057386680013,0
1.2868999546341966,0.0228281967757701,1
0.9476605744092336,-0.5661124454561983,1
1.3551090697385626,2.2015677313429944,2
0.930378258109045,2.0744714590441653,2
1.272287653047269,1.8608016095050124,2
0.8625181636845838,-1.848954736157668,0
1.124784298572191,-0.32231547164484,1
1.0080018583068209,0.087395053327673,1
1.5978710162488163,2.187402200347495,2
1.0167995433606063,-2.4414662042087576,0
0.7215796890291499,-1.8970355193116195,0
1.096490243743974,-1.5280843760659526,0
0.404164948402541,-1.4826732878876951,0
1.129175028794155,1.5035729798687592,2
0.8704135802162463,-0.2424656874288595,1
0.6857293445566075,-1.3546928161047729,0
0.8402560397784735,0.5863537280545031,1
1.240743705119412,-0.0736903190811501,1
0.8500546943727809,1.456240475672396,2
0.654709586520813,0.3794134793046981,1
0.5441928971128114,-1.8979540206240213,0
0.5671088544778169,-2.4285614125353767,0
0.9550564857530393,-1.7358172135549914,0
0.9516266398048504,-0.8607226108429085,1
1.098176113483809,-2.059581456744071,0
0.6902523728612395,-1.8924518684927916,0
1.0297240724026084,-1.3393759360035715,0
1.2154282906473135,-0.1245006066880716,1
1.2527111782939029,0.7670391967095285,1
1.350320277327418,2.5100741886276188,2
0.6016365628129676,-1.1941360926810811,0
1.054162722875187,0.6827934678084275,1
1.2515915415614425,0.2273119143173494,1
0.7226864894468388,-0.1862407815868632,1
0.9257932254744644,0.5845289063284016,1
0.8474347855547456,1.3681753965903418,2
0.8110484899949613,-1.4921550382295532,0
0.9432413452584232,-0.30457895636442,1
0.6136096612207484,-2.310694487412456,0
0.9573340443731104,-0.0451891102148431,1
1.151433014234699,-2.308395568655577,0
1.1255239345631396,-0.2403630757995142,1
1.2737323050027345,1.874858558361547,2
1.12465594547768,0.5096202500991246,1
1.0397295645767262,-0.0658115179101833,1
0.8765577969694693,-0.2094179031517716,1
1.1799311135423678,-0.5502107115900627,1
1.246821465175908,1.016112942435783,1
1.391164579909251,2.3226924539407303,2
0.7711903110858933,-0.1788428353255324,1
1.0546282787894,-2.2912094142931663,0
0.821520415236066,1.6775326121713672,2
1.211734315921439,2.4352375512413005,2
0.5734443181625984,0.7094119548552461,1
0.9177356613923866,2.2308578173935247,2
1.4844246084715005,1.5424543537479047,2
0.4504104838053221,-0.670828113369982,0
1.1626823020530446,-1.260843038038893,1
1.1094932376761042,-0.3202629921035895,1
0.8909243583724371,-1.173781623471542,0
1.286732361582373,2.6882613857638944,2
0.9384351408421918,-3.3837031250864387,0
0.8064827199241893,0.4399583078581132,1
1.2192487716500626,2.436122527644956,2
1.1282525531906922,-0.2858776249991054,1
0.886498308391154,-2.346469247006685,0
1.2933213177353229,2.0831585873420693,2
0.7157928206339286,-1.9689659089130285,0
0.8427369526635944,-2.345008902141229,0
0.8973338303081135,1.3128762637011624,2
0.7583658535361951,1.8319882544877024,2
1.0075319435373893,0.0566470688970174,1
0.580913925823424,-0.381872634375541,1
1.290921281084258,0.0747107196268395,1
1.22424119054306,-0.0292986669362872,1
0.8445435774434206,0.033935681957005,1
1.2025939827227587,2.0053675275593883,2
1.5913286839938126,2.1560375617366017,2
0.8527719730233696,0.4125664447592207,1
0.5843923144248904,-2.457658107037897,0
1.293218656967559,-0.0152285615875527,1
0.8757276756008694,1.814134744014872,2
0.9538871363206254,-0.761410274835894,1
1.245974462363038,2.455454726813513,2
1.152689980482771,-0.3988617068486427,1
0.6213344624725743,0.3017884283085085,1
0.8930568021455889,3.04290350696461,2
0.7698560206247658,0.9787575220566004,1
0.7834676708751163,0.0345272811763892,1
0.9952650360940904,0.3772867216074172,1
0.4892571224509818,-2.254092239243824,0
0.3505120008376644,-1.9531279018653271,0
0.7945743560265986,0.8751552608025956,1
0.948477063094228,-2.128548991310667,0
0.712082047620159,-1.9226649637553277,0
1.254270915301599,-2.3601773652699185,0
0.6210790969748512,-2.74272571734795,0
1.2473405809105194,1.2976371894864938,2
1.4282274813686646,1.9349713359821143,2
1.2120595649083037,0.3132469479221487,1
0.6098462279866229,-0.2677602681116567,1
1.059457629191752,-1.7193026109966656,0
0.9932051622774476,-0.6022153349505874,0
0.8835642332840832,2.80181934117314,2
1.19579128563074,0.5871282548777104,1
0.7349178001350065,-1.3691033081207644,0
0.8616055976349631,1.5987069666992393,2
0.8197535268038116,0.342260367503792,1
0.8757711161118578,-1.8730974618579588,0
0.865805317010199,-0.8275271309041662,1
0.986242764064343,1.9746244864455225,2
0.7194027474951907,-1.7669028065484604,0
0.6337052126039877,-2.8307946184859967,0
0.8927345646626392,0.6479129372373539,1
0.9250373604572748,-2.5502218685003677,0
0.9817457525864144,0.0792890023309193,1
0.951686059229546,-0.0355839852492454,1
0.8311351781311282,-1.8834793240655288,0
1.1525708093141198,-2.438308429429121,0
