W,X,Z
0.4190379661174601,1.3071701929895547,"(-1.752, 1.612]"
0.104818914432243,-0.8476460390154541,"(-1.752, 1.612]"
-0.768470153750106,1.377647640612953,"(-1.752, 1.612]"
0.3203632693202947,-0.2917497714572135,"(-1.752, 1.612]"
-0.8199068698634129,0.2942183337043311,"(1.612, 4.959]"
0.6008603305649699,-0.2210545443126381,"(1.612, 4.959]"
0.2257518817503495,1.289603696923952,"(-1.752, 1.612]"
-0.9114525943512644,1.839539188281437,"(1.612, 4.959]"
0.1364052792286137,0.8513449507374053,"(-1.752, 1.612]"
0.9617355503423743,-0.0319350399450795,"(-1.752, 1.612]"
-1.345054498882433,1.562324621597523,"(-1.752, 1.612]"
-0.3360682031616142,0.4708626123601473,"(-1.752, 1.612]"
-0.5102883909241768,-0.2811398634235194,"(-1.752, 1.612]"
0.314705760611211,-0.4783874173886753,"(-1.752, 1.612]"
-0.1786075108786395,1.4642525099817592,"(1.612, 4.959]"
-0.0270396150866511,0.1342296893873631,"(-1.752, 1.612]"
0.3719246285670418,0.7745014142717466,"(1.612, 4.959]"
-1.2153882336268949,1.296635760966657,"(-1.752, 1.612]"
1.2026158529201023,-0.7259984201555754,"(1.612, 4.959]"
-0.4455442093295579,0.429543135580265,"(1.612, 4.959]"
-0.9860834270312726,0.084642869640735,"(-1.752, 1.612]"
1.828136064224235,1.0723500365061898,"(1.612, 4.959]"
0.0920464664362627,-0.9716231297865728,"(-1.752, 1.612]"
-0.4143763946943323,1.0163674584957891,"(4.959, 8.306]"
2.3868121055881337,-1.7055998488434905,"(-1.752, 1.612]"
1.9048757769141669,0.8832837273199328,"(-1.752, 1.612]"
0.838966494403832,0.1641575164866355,"(-1.752, 1.612]"
-1.919796461630981,0.3360163559866462,"(-1.752, 1.612]"
-1.0206744753694987,1.6997709193097537,"(1.612, 4.959]"
0.6923747845656307,-1.4481556718114923,"(1.612, 4.959]"
-0.3313903900463702,0.1973121490898446,"(-1.752, 1.612]"
-1.496445602862249,0.5389143786302837,"(-1.752, 1.612]"
0.3818707769817059,0.19170472788432,"(-1.752, 1.612]"
0.380376105061277,0.941746953468769,"(-1.752, 1.612]"
-2.0091284408977854,0.9398009071982748,"(1.612, 4.959]"
