Z,X,Y
-1.5211061219063189,1.3071701929895547,"(-0.774, 0.499]"
0.7926009957379268,-0.8476460390154541,"(0.499, 1.772]"
0.1713753154992091,1.377647640612953,"(-0.774, 0.499]"
0.7812933815346585,-0.2917497714572135,"(-0.774, 0.499]"
4.203398747862375,0.2942183337043311,"(1.772, 3.045]"
1.793557314321856,-0.2210545443126381,"(-0.774, 0.499]"
1.0380801970295974,1.289603696923952,"(-2.047, -0.774]"
1.6565175452413534,1.839539188281437,"(0.499, 1.772]"
-1.7348132523687383,0.8513449507374053,"(-0.774, 0.499]"
-0.1050967055550484,-0.0319350399450795,"(0.499, 1.772]"
0.5761653604011466,1.562324621597523,"(0.499, 1.772]"
1.4873907616302071,0.4708626123601473,"(-0.774, 0.499]"
0.4056347050127263,-0.2811398634235194,"(-0.774, 0.499]"
0.5960177004743249,-0.4783874173886753,"(-0.774, 0.499]"
2.3593992928771588,1.4642525099817592,"(-2.047, -0.774]"
0.730153101302143,0.1342296893873631,"(-2.047, -0.774]"
3.1707296716838496,0.7745014142717466,"(-2.047, -0.774]"
1.0375246290592164,1.296635760966657,"(0.499, 1.772]"
3.8838146249532,-0.7259984201555754,"(1.772, 3.045]"
4.068408704944611,0.429543135580265,"(-2.047, -0.774]"
0.7430992341820946,0.084642869640735,"(-2.047, -0.774]"
2.453549580148476,1.0723500365061898,"(0.499, 1.772]"
-0.0578686066281934,-0.9716231297865728,"(-0.774, 0.499]"
5.158037894438839,1.0163674584957891,"(1.772, 3.045]"
-0.3351558818249135,-1.7055998488434905,"(-0.774, 0.499]"
0.3037496352204399,0.8832837273199328,"(-0.774, 0.499]"
0.9072997763160702,0.1641575164866355,"(-0.774, 0.499]"
-0.5088194208094882,0.3360163559866462,"(-0.774, 0.499]"
2.0777947424841954,1.6997709193097537,"(0.499, 1.772]"
1.881007557752932,-1.4481556718114923,"(-2.047, -0.774]"
0.0031344473992752,0.1973121490898446,"(-0.774, 0.499]"
-1.2848575945310972,0.5389143786302837,"(-0.774, 0.499]"
1.1845623844270132,0.19170472788432,"(0.499, 1.772]"
0.5354431923304278,0.941746953468769,"(-0.774, 0.499]"
4.013403491155473,0.9398009071982748,"(-2.047, -0.774]"
3.0911054363184083,-1.180672005551207,"(1.772, 3.045]"
2.3840683543964585,1.5408821512230335,"(-2.047, -0.774]"
2.309476952489048,1.659163292015541,"(-2.047, -0.774]"
0.2807161247253082,0.2490118481874326,"(-0.774, 0.499]"
1.1300095682416984,1.330141191449841,"(0.499, 1.772]"
1.162691913501852,0.8723232819364424,"(0.499, 1.772]"
5.884244056077575,1.7886204095419842,"(-2.047, -0.774]"
-0.8591931100294184,-1.4704986224464718,"(-2.047, -0.774]"
2.073102435697167,1.6866624504419825,"(0.499, 1.772]"
2.5861727039122653,-1.35955822664753,"(0.499, 1.772]"
0.329533237415368,-0.81905599380821,"(-0.774, 0.499]"
3.788497873622982,-0.3199827175899861,"(1.772, 3.045]"
3.139405298572157,-1.1035019505206711,"(0.499, 1.772]"
1.2924541366637678,1.2896063680187368,"(-2.047, -0.774]"
-0.6667195169492199,-1.5373527479505815,"(0.499, 1.772]"
4.184566889235745,-0.806578082191939,"(1.772, 3.045]"
7.630623824644165,0.5531870722428232,"(-3.326, -2.047]"
0.669495281266552,0.709173056909477,"(-0.774, 0.499]"
-1.5895758382945546,0.1883359358355321,"(-0.774, 0.499]"
3.312810476709891,-1.9694348121877847,"(0.499, 1.772]"
0.633849812627427,-1.732986045504557,"(-0.774, 0.499]"
1.6241370127364632,1.2136679336408438,"(0.499, 1.772]"
3.623784050528681,0.7877940401592136,"(1.772, 3.045]"
1.4380529791052437,-1.4283380093606777,"(0.499, 1.772]"
2.0050236566597777,-1.3153362543403673,"(-0.774, 0.499]"
2.830110213080258,-1.380025328162422,"(0.499, 1.772]"
2.357047055062564,1.3130079927712963,"(0.499, 1.772]"
1.5876547638669416,-1.259798198924916,"(-2.047, -0.774]"
0.0843509244442598,-0.1961144977923421,"(-2.047, -0.774]"
4.077212309707992,-1.4469582601809727,"(0.499, 1.772]"
-0.4883758580618953,-1.86980523890162,"(0.499, 1.772]"
2.3758092097698373,1.2260608274176996,"(1.772, 3.045]"
1.177070117077008,-0.8489433326753302,"(-0.774, 0.499]"
1.050079918411423,-1.2733280911957952,"(-0.774, 0.499]"
1.0049831490709882,0.8342935156937701,"(-2.047, -0.774]"
-0.54139005298083,1.1070088740327284,"(-2.047, -0.774]"
2.217851898851917,0.0590517786591204,"(-2.047, -0.774]"
0.4650885549631727,1.102577511694157,"(-0.774, 0.499]"
0.3902859969232188,-0.9692829353395584,"(-0.774, 0.499]"
0.0649823508894435,-1.769178959363499,"(-0.774, 0.499]"
0.5598405337619834,0.1508143795387577,"(-0.774, 0.499]"
1.9855525212776428,-1.031856724511658,"(-2.047, -0.774]"
-0.8187975190223178,1.0434186036838415,"(-0.774, 0.499]"
-0.4517130743269475,1.287940131680139,"(-0.774, 0.499]"
2.415215155335161,-1.8454669290806571,"(1.772, 3.045]"
1.5273582253820868,1.229430589996777,"(0.499, 1.772]"
1.336536429436095,-1.1047392098887991,"(0.499, 1.772]"
