O,N,P
1.4646333265570943,1.4714887922366762,"(4.0, 6.0]"
1.2122374704138683,1.4632567149523086,"(4.0, 6.0]"
1.0004373743874282,-0.1687058455990099,"(4.0, 6.0]"
1.075754948172941,2.3904081130489025,"(6.0, 8.0]"
1.4889680005851325,1.5840303140998857,"(6.0, 8.0]"
1.2968472449348725,0.3334713525495992,"(6.0, 8.0]"
1.1330303526870462,-1.769538454709544,"(4.0, 6.0]"
0.6408214345055554,0.0371249060391802,"(1.99, 4.0]"
0.9371844250883644,0.6425181711619885,"(1.99, 4.0]"
0.9817864321979182,0.3989679339229259,"(4.0, 6.0]"
1.058681209457634,2.2682477692220906,"(6.0, 8.0]"
1.1295844507927164,1.9504323605489575,"(6.0, 8.0]"
0.9780173892771168,2.4333454661115805,"(6.0, 8.0]"
0.8120887094487848,0.010719803685177,"(6.0, 8.0]"
0.5238747617707702,-1.8849761096973636,"(1.99, 4.0]"
0.8996392643797992,-2.282636001002833,"(6.0, 8.0]"
0.6483768808485764,-0.657953856474244,"(6.0, 8.0]"
0.922980610150648,-2.4526988515807147,"(1.99, 4.0]"
0.8060566071377706,-0.4129857453397031,"(6.0, 8.0]"
0.987774556565738,-0.3612777000537729,"(6.0, 8.0]"
0.7898558311024144,0.3767298920768547,"(6.0, 8.0]"
1.0244627734506977,0.4838544272234633,"(6.0, 8.0]"
0.4999244478356678,-1.9642663710180008,"(1.99, 4.0]"
1.0156158965000897,-0.4294917262646306,"(4.0, 6.0]"
0.8885616175019624,-2.699387804710582,"(6.0, 8.0]"
1.1049028721685443,0.7408753122031935,"(4.0, 6.0]"
0.6995485451738999,-2.3245355107847794,"(1.99, 4.0]"
0.7779616825937361,-2.0612866493940767,"(1.99, 4.0]"
0.441580919140715,-2.381940535011401,"(4.0, 6.0]"
0.9269395766012032,-0.601693212265421,"(4.0, 6.0]"
0.7559908845256065,0.7263688236761798,"(4.0, 6.0]"
0.5082417535152417,-2.110610514711645,"(4.0, 6.0]"
0.3536925025711365,-3.137057386680013,"(1.99, 4.0]"
1.2868999546341966,0.0228281967757701,"(1.99, 4.0]"
0.9476605744092336,-0.5661124454561983,"(1.99, 4.0]"
1.3551090697385626,2.2015677313429944,"(4.0, 6.0]"
0.930378258109045,2.0744714590441653,"(8.0, 10.0]"
1.272287653047269,1.8608016095050124,"(4.0, 6.0]"
0.8625181636845838,-1.848954736157668,"(4.0, 6.0]"
1.124784298572191,-0.32231547164484,"(4.0, 6.0]"
1.0080018583068209,0.087395053327673,"(4.0, 6.0]"
1.5978710162488163,2.187402200347495,"(4.0, 6.0]"
1.0167995433606063,-2.4414662042087576,"(6.0, 8.0]"
0.7215796890291499,-1.8970355193116195,"(1.99, 4.0]"
1.096490243743974,-1.5280843760659526,"(1.99, 4.0]"
0.404164948402541,-1.4826732878876951,"(4.0, 6.0]"
1.129175028794155,1.5035729798687592,"(8.0, 10.0]"
0.8704135802162463,-0.2424656874288595,"(6.0, 8.0]"
0.6857293445566075,-1.3546928161047729,"(1.99, 4.0]"
0.8402560397784735,0.5863537280545031,"(4.0, 6.0]"
1.240743705119412,-0.0736903190811501,"(6.0, 8.0]"
0.8500546943727809,1.456240475672396,"(1.99, 4.0]"
0.654709586520813,0.3794134793046981,"(4.0, 6.0]"
0.5441928971128114,-1.8979540206240213,"(4.0, 6.0]"
0.5671088544778169,-2.4285614125353767,"(6.0, 8.0]"
0.9550564857530393,-1.7358172135549914,"(6.0, 8.0]"
0.9516266398048504,-0.8607226108429085,"(6.0, 8.0]"
1.098176113483809,-2.059581456744071,"(4.0, 6.0]"
0.6902523728612395,-1.8924518684927916,"(6.0, 8.0]"
1.0297240724026084,-1.3393759360035715,"(6.0, 8.0]"
1.2154282906473135,-0.1245006066880716,"(6.0, 8.0]"
1.2527111782939029,0.7670391967095285,"(4.0, 6.0]"
1.350320277327418,2.5100741886276188,"(6.0, 8.0]"
0.6016365628129676,-1.1941360926810811,"(8.0, 10.0]"
1.054162722875187,0.6827934678084275,"(1.99, 4.0]"
1.2515915415614425,0.2273119143173494,"(4.0, 6.0]"
0.7226864894468388,-0.1862407815868632,"(8.0, 10.0]"
0.9257932254744644,0.5845289063284016,"(6.0, 8.0]"
0.8474347855547456,1.3681753965903418,"(8.0, 10.0]"
0.8110484899949613,-1.4921550382295532,"(6.0, 8.0]"
0.9432413452584232,-0.30457895636442,"(8.0, 10.0]"
0.6136096612207484,-2.310694487412456,"(1.99, 4.0]"
0.9573340443731104,-0.0451891102148431,"(1.99, 4.0]"
1.151433014234699,-2.308395568655577,"(1.99, 4.0]"
