W,Z,Category
0.4190379661174601,-1.5211061219063189,High
0.104818914432243,0.7926009957379268,High
-0.768470153750106,0.1713753154992091,High
0.3203632693202947,0.7812933815346585,Low
-0.8199068698634129,4.203398747862375,High
0.6008603305649699,1.793557314321856,High
0.2257518817503495,1.0380801970295974,High
-0.9114525943512644,1.6565175452413534,Low
0.1364052792286137,-1.7348132523687383,Mid
0.9617355503423743,-0.1050967055550484,Mid
-1.345054498882433,0.5761653604011466,Mid
-0.3360682031616142,1.4873907616302071,Mid
-0.5102883909241768,0.4056347050127263,Low
0.314705760611211,0.5960177004743249,Mid
-0.1786075108786395,2.3593992928771588,High
-0.0270396150866511,0.730153101302143,Mid
0.3719246285670418,3.1707296716838496,High
-1.2153882336268949,1.0375246290592164,Low
1.2026158529201023,3.8838146249532,High
-0.4455442093295579,4.068408704944611,Mid
-0.9860834270312726,0.7430992341820946,Low
1.828136064224235,2.453549580148476,High
0.0920464664362627,-0.0578686066281934,Low
-0.4143763946943323,5.158037894438839,Mid
2.3868121055881337,-0.3351558818249135,Mid
1.9048757769141669,0.3037496352204399,High
0.838966494403832,0.9072997763160702,High
-1.919796461630981,-0.5088194208094882,High
-1.0206744753694987,2.0777947424841954,High
0.6923747845656307,1.881007557752932,Low
-0.3313903900463702,0.0031344473992752,High
-1.496445602862249,-1.2848575945310972,High
0.3818707769817059,1.1845623844270132,High
0.380376105061277,0.5354431923304278,Low
-2.0091284408977854,4.013403491155473,High
0.206214271483645,3.0911054363184083,High
1.158103836505382,2.3840683543964585,High
-0.7302100795270109,2.309476952489048,Mid
-0.2414890672972952,0.2807161247253082,High
-1.0019464536285982,1.1300095682416984,Mid
-0.7386980811735416,1.162691913501852,High
-2.3255541405906333,5.884244056077575,Mid
-0.3472641995834907,-0.8591931100294184,High
-1.5434716081974873,2.073102435697167,High
-0.0053072482051371,2.5861727039122653,Low
0.4974578051854093,0.329533237415368,High
-0.2491361976850617,3.788497873622982,Low
-0.9938222809352912,3.139405298572157,High
0.1376052912034436,1.2924541366637678,Low
0.9732756772555656,-0.6667195169492199,Mid
-0.7033812293023372,4.184566889235745,Mid
-0.7133731048869166,7.630623824644165,Low
0.3927834202906051,0.669495281266552,Low
-1.45249487867414,-1.5895758382945546,Low
0.3612742624306599,3.312810476709891,Low
0.1505445134113773,0.633849812627427,High
0.2713050260062471,1.6241370127364632,Mid
1.1994031466858168,3.623784050528681,High
-0.8054283573486993,1.4380529791052437,Mid
0.0086316571747996,2.0050236566597777,Low
-0.68096929527559,2.830110213080258,Low
0.4443913743677685,2.357047055062564,Mid
-0.22390799796008,1.5876547638669416,Mid
-0.1425469476827097,0.0843509244442598,High
-0.1705299487076119,4.077212309707992,Mid
0.0769063071255796,-0.4883758580618953,Low
0.9626267276494642,2.3758092097698373,High
0.3472013898534346,1.177070117077008,Low
-0.1538307338907202,1.050079918411423,High
-0.4996800149343728,1.0049831490709882,High
2.613912352180212,-0.54139005298083,Mid
-0.2631285185354064,2.217851898851917,High
0.3224278131775026,0.4650885549631727,High
-1.0187643093759926,0.3902859969232188,Mid
0.0389269404844501,0.0649823508894435,Mid
0.7067382275542391,0.5598405337619834,High
1.3048524014010652,1.9855525212776428,Low
-0.6275833657532627,-0.8187975190223178,Mid
1.2873093958508843,-0.4517130743269475,Mid
0.2258078054109006,2.415215155335161,Mid
2.686905506388492,1.5273582253820868,Low
0.8313545866018346,1.336536429436095,High
-0.9740492037579132,0.8372014181062304,High
1.4486264570923575,-0.7182098368564208,High
-0.5383850931688472,2.404716805617465,Low
0.0138846082987848,-0.8309713024657553,Low
-0.0417170638485225,0.259344903627977,High
-0.1894231166948022,0.670070089444504,High
0.338787795585456,0.201260102807413,Mid
0.3387614494610336,3.383982052708987,Low
-0.1843140194914568,0.0096121327014437,Low
-0.1110109429008401,2.258178303945402,Low
-1.102913876962934,3.0395242756421643,Low
-0.8363732551355777,-1.142709449416575,Low
1.2129571118904154,-0.3780993555163041,Mid
1.1278221095392575,0.2177578060813429,High
0.2713434681631411,1.371051176865862,High
0.2203947362012547,2.580707015214867,High
0.5275176430277317,1.6310743452574226,Low
-0.7285534962902157,-1.0876084408854017,Low
1.274404193490109,1.2309714109773668,High
-1.0987114559906526,-0.3215788714260105,High
-1.7773575941715891,0.6498901202597138,Low
-1.3749611602914955,0.129518820029387,Mid
0.3442860760347968,0.994623436579574,High
0.4951567531519137,-0.5573799814206603,Low
0.4819492696518795,14.999543743100404,Low
-0.5690587135519508,3.267969933481945,Mid
1.0280905557083293,1.848850888819001,Low
-0.102426322544795,0.2406578321051296,Low
-0.3195609967017891,0.5028263588555547,Low
1.104830734559365,0.3746724273958314,Low
-1.5447931071560326,0.958127532661751,Mid
1.5790897202413576,1.4600928258246892,Mid
1.417912584999133,1.3733391897996226,Low
0.1010206588450783,0.5827965728291519,High
-0.4925719173036763,1.396270014952362,Low
1.0882180243096458,0.899223076763223,Low
-1.6799371738481923,-0.0912144935641713,Low
-1.7225394440103114,-1.3555219025141323,Low
-0.2515377578830712,-0.0654308817569413,Mid
1.0976621179061337,5.484579571837975,Low
-0.3726889261472156,1.902749130210941,High
-0.8465033616574015,2.7187278753913366,Low
0.437342498271433,-0.5989643878864579,Mid
-1.6972679822373573,0.3546305650249354,High
0.5827636193972108,1.0360000180294349,High
-1.5913534871680697,0.8198426448751208,Mid
0.1502897216269844,1.2790950292954375,Low
0.7184440271403925,0.2991145399540669,High
-1.376050992731421,0.0699221834381069,High
0.6223651292851777,1.0414183862126407,Low
-0.4335048037961795,-1.272699250454978,High
