             Y  C2=R  C2=S  C2=T
(-0.69, -0.51]     1     1     0
(-0.51, -0.34]     0     0     2
(-0.34, -0.16]     1     0     1
 (-0.16, 0.02]     1     0     0
  (0.02, 0.19]     1     2     1
  (0.19, 0.37]     0     1     0
  (0.37, 0.55]     1     0     1
  (0.55, 0.72]     0     0     0
  (0.72, 0.90]     0     1     0
  (0.90, 1.08]     1     0     0
  (1.08, 1.25]     0     1     0
  (1.25, 1.43]     1     1     2
  (1.43, 1.61]     1     0     2
  (1.61, 1.78]     1     0     4
  (1.78, 1.96]     1     2     2
  (1.96, 2.14]     0     0     1
  (2.14, 2.31]     5     1     1
  (2.31, 2.49]     0     1     1
  (2.49, 2.67]     3     0     1
  (2.67, 2.84]     1     2     2
