B,A,Y
0.0203593766196119,2.3104526183238385,"(13.881, 16.425]"
0.2096289553394443,1.1374335984347352,"(11.336, 13.881]"
0.2032814082519488,-2.1788202193016453,"(6.247, 8.791]"
0.0174414531035153,2.026888122929285,"(11.336, 13.881]"
0.1870863162231354,2.5807208082453355,"(11.336, 13.881]"
0.0380210760892257,3.17369522624692,"(13.881, 16.425]"
0.1801662439811875,-0.2474104347432067,"(8.791, 11.336]"
0.1607022225787186,-1.7366408381305818,"(6.247, 8.791]"
0.2499356900901881,-1.710708586754169,"(6.247, 8.791]"
0.0836560735902395,3.695494253316762,"(13.881, 16.425]"
0.0594858934380129,1.385391303349857,"(8.791, 11.336]"
0.1295560900095383,-1.7062050177280366,"(6.247, 8.791]"
0.0071214118701137,0.5774071035056505,"(11.336, 13.881]"
0.0928262806808987,-1.4577074300755477,"(6.247, 8.791]"
0.1767150894948897,3.185489955678104,"(13.881, 16.425]"
0.1250518380305225,-1.920970798954327,"(3.689, 6.247]"
0.2154167183504851,2.694731524380351,"(13.881, 16.425]"
0.0378795796671341,0.5881652613785695,"(8.791, 11.336]"
0.1820994457646918,-0.9563489362335836,"(6.247, 8.791]"
0.1591068819551523,1.889235593605077,"(11.336, 13.881]"
0.0253945876485457,0.9126232776413364,"(8.791, 11.336]"
0.1537794894375101,-2.390365057016394,"(3.689, 6.247]"
0.1048306600326024,-2.749298208594216,"(3.689, 6.247]"
0.0923034731266393,-1.2461078849124925,"(6.247, 8.791]"
0.1608734400308301,2.798720292467543,"(13.881, 16.425]"
0.1468113767723461,-2.111020480919675,"(6.247, 8.791]"
0.0765626049131002,3.10484716436378,"(13.881, 16.425]"
0.0517057624698847,-1.7846394330977895,"(6.247, 8.791]"
0.1180943513813341,-0.9301373693371022,"(8.791, 11.336]"
0.1527449513760664,-1.567146232716166,"(6.247, 8.791]"
0.0499540185143007,2.109814709226553,"(13.881, 16.425]"
0.245767874779685,-3.3859906166601696,"(3.689, 6.247]"
0.1151675541625498,3.531081584906433,"(13.881, 16.425]"
0.1218393073486343,-0.4232344151635219,"(8.791, 11.336]"
0.2207434662366234,0.3013705667144656,"(8.791, 11.336]"
0.050680459559173,1.7760308086079235,"(11.336, 13.881]"
0.2208259101513942,-1.959182525707,"(8.791, 11.336]"
0.0325594697025835,1.1777626297603685,"(11.336, 13.881]"
0.1263170599910319,2.294484948937794,"(13.881, 16.425]"
0.008999018734096,0.7132198664465546,"(8.791, 11.336]"
0.2481420911556957,-0.5904617595852164,"(8.791, 11.336]"
0.0586760708212365,-0.7649201787664215,"(8.791, 11.336]"
0.2038124520518456,2.594891145472668,"(11.336, 13.881]"
0.1829988715238147,-0.8657700460822084,"(6.247, 8.791]"
0.0090002421014919,0.3736476512080201,"(6.247, 8.791]"
0.0076518625228029,1.2125474250961614,"(8.791, 11.336]"
0.1467602588744934,3.359055341073289,"(13.881, 16.425]"
0.1433960181030761,1.818982005949093,"(11.336, 13.881]"
0.0706296299013927,0.0451095727861523,"(8.791, 11.336]"
0.1525989484897957,0.8988863259610701,"(11.336, 13.881]"
0.2185494621777628,0.994444047066508,"(8.791, 11.336]"
0.1121280519255349,0.6561870518858467,"(8.791, 11.336]"
0.2219110951694855,-0.7473188892501502,"(8.791, 11.336]"
0.153324899028591,-2.054796701213812,"(6.247, 8.791]"
0.0430547793183325,2.345508863797772,"(11.336, 13.881]"
0.0603147322848325,-0.3151365836575435,"(8.791, 11.336]"
0.1727543248085772,2.375900226132128,"(11.336, 13.881]"
