V1,V2,T,V3
1.420221439115729,-4.565409036715148,M4,'L1'
-0.0169947331835607,-6.924586009047138,M5,'L2'
3.5437083953210937,0.7930696304162828,M12,'L1'
0.4973777199976282,6.291284467284438,M10,'L2'
3.287208630497184,2.975562177551364,M1,'L1'
0.4041061891109248,2.3960562724570584,M4,'L2'
-2.0843264080450163,-7.390834813971099,M7,'L3'
-1.1332843391354244,-2.478842142915472,M6,'L3'
-1.942758749219567,-2.5670972759894166,M7,'L3'
0.9378673067750224,4.9536393924609605,M1,'L2'
1.8517014927113515,1.018286010300168,M2,'L1'
0.8204248510408105,2.160319716698058,M2,'L2'
0.1457445793444822,3.5748390612966414,M10,'L2'
0.977596269206126,-1.3425834800478222,M10,'L2'
1.3966620664594251,2.4677050747597957,M1,'L1'
-1.1008980877035144,1.1028127399937988,M4,'L3'
3.646894568082972,3.1777635865351144,M12,'L1'
0.6758996867273085,2.160542342752729,M5,'L2'
-3.558606419318049,1.5060077697968612,M7,'L3'
0.2357716721198286,-3.656665626126824,M1,'L2'
1.8032587943613907,1.1534605588092468,M11,'L1'
0.067212712288069,2.0798172661497745,M8,'L2'
-1.4231714503258823,-6.877957342864397,M6,'L3'
0.4249596384319603,-0.7646362499082286,M5,'L2'
1.5463345557365216,2.948507680321287,M2,'L1'
0.4225416454334089,-0.7984012793828094,M4,'L2'
2.896137924599096,0.1547284021596615,M10,'L1'
-3.1293806744881225,-0.9859532608425264,M7,'L3'
2.0380978543125816,4.086291431748334,M12,'L1'
1.731001321944209,-3.3328708399952887,M5,'L1'
0.3277955487396145,5.634477604948079,M12,'L2'
-1.719210307149058,0.2017983861195311,M7,'L3'
-2.257349235534493,-1.4793097437416032,M7,'L3'
0.024245004513367,-4.180918797829295,M1,'L2'
0.2950277255718313,3.338707163534516,M4,'L2'
1.5105901775025194,2.527878103258668,M4,'L1'
-0.9264165484371744,-3.5572530255362507,M9,'L2'
-1.347163056475397,3.954109804973732,M4,'L3'
0.2772635734629358,-3.766330786548588,M5,'L2'
0.6230732866271071,3.1663850117428347,M2,'L2'
-1.740847036396941,1.3143197931213746,M6,'L3'
0.6597732411135964,-2.603746950688284,M9,'L2'
-1.5057783591089289,-4.347046529520219,M7,'L3'
0.789463570779878,4.826291672379136,M11,'L2'
-1.8291465483600724,-2.448075394429912,M6,'L3'
1.1187306145913989,3.0246221899844903,M9,'L1'
0.1335876855886904,0.2639507121553908,M3,'L2'
-0.5053793220293621,-3.873149256064431,M3,'L2'
-1.0699336186038468,5.04525790604454,M3,'L3'
-1.5645757417630546,-5.542629856521156,M6,'L3'
1.5562331468559116,4.439311997904528,M11,'L1'
0.0109358136897152,4.139636875503534,M3,'L2'
1.1701420967926024,-0.4160927407250041,M3,'L1'
2.8020066704291264,7.608888228257594,M12,'L1'
-2.55453820177272,0.3762342949092654,M8,'L3'
2.516817650436028,4.132467473365307,M12,'L1'
-1.0884103146775783,-0.6727145144691303,M4,'L3'
-0.2354379664569519,4.424060714613487,M1,'L2'
-0.4714970115840271,0.3150646158874837,M5,'L2'
1.0788134772565037,2.0016349659570425,M11,'L1'
0.3052698461875267,-0.6287225911383612,M10,'L2'
2.422868607632443,4.915557617361044,M1,'L1'
1.5343428907157324,6.022884409288483,M11,'L1'
1.244369547840778,-0.2178504983117473,M10,'L1'
0.764736680608584,3.271819873466272,M3,'L2'
3.922270776539236,2.08702120571414,M12,'L1'
-0.079379378637104,-2.286934175954551,M5,'L2'
1.2911496824958295,4.8431910286883495,M9,'L1'
-0.9141004626012976,-4.518992640812967,M4,'L2'
1.5061698199027225,0.1055250340881227,M4,'L1'
