A,Y,B
2.3104526183238385,15.566994008956073,"(0.003, 0.0526]"
1.1374335984347352,11.374922931024711,"(0.201, 0.25]"
-2.1788202193016453,7.151899205162891,"(0.201, 0.25]"
2.026888122929285,12.867216205353651,"(0.003, 0.0526]"
2.5807208082453355,13.267777098848402,"(0.151, 0.201]"
3.17369522624692,14.451797174356626,"(0.003, 0.0526]"
-0.2474104347432067,8.899665093165293,"(0.151, 0.201]"
-1.7366408381305818,7.779699897384021,"(0.151, 0.201]"
-1.710708586754169,8.008065587339878,"(0.201, 0.25]"
3.695494253316762,16.425231989767916,"(0.0526, 0.102]"
1.385391303349857,10.669644044289004,"(0.0526, 0.102]"
-1.7062050177280366,7.864460772511596,"(0.102, 0.151]"
0.5774071035056505,11.967778657494431,"(0.003, 0.0526]"
-1.4577074300755477,8.047069188298314,"(0.0526, 0.102]"
3.185489955678104,14.777191214099538,"(0.151, 0.201]"
-1.920970798954327,5.394738414070433,"(0.102, 0.151]"
2.694731524380351,15.225937730638236,"(0.201, 0.25]"
0.5881652613785695,9.940320346782332,"(0.003, 0.0526]"
-0.9563489362335836,8.38019036504315,"(0.151, 0.201]"
1.889235593605077,13.706109810154803,"(0.151, 0.201]"
0.9126232776413364,10.922953246506252,"(0.003, 0.0526]"
-2.390365057016394,6.204085515736997,"(0.151, 0.201]"
-2.749298208594216,4.522398571090762,"(0.102, 0.151]"
-1.2461078849124925,8.779605829834146,"(0.0526, 0.102]"
2.798720292467543,14.78516523320642,"(0.151, 0.201]"
-2.111020480919675,6.4426788155418055,"(0.102, 0.151]"
3.10484716436378,14.639255040207846,"(0.0526, 0.102]"
-1.7846394330977895,8.573625939862016,"(0.003, 0.0526]"
-0.9301373693371022,9.588347038695222,"(0.102, 0.151]"
-1.567146232716166,7.233596783656511,"(0.151, 0.201]"
2.109814709226553,13.943940737142976,"(0.003, 0.0526]"
-3.3859906166601696,5.443195353925407,"(0.201, 0.25]"
3.531081584906433,14.378314218213657,"(0.102, 0.151]"
-0.4232344151635219,9.584831129743575,"(0.102, 0.151]"
0.3013705667144656,10.576235730000391,"(0.201, 0.25]"
1.7760308086079235,12.783140490472183,"(0.003, 0.0526]"
-1.959182525707,9.148743776376556,"(0.201, 0.25]"
1.1777626297603685,12.60502118464266,"(0.003, 0.0526]"
2.294484948937794,14.874288596688348,"(0.102, 0.151]"
0.7132198664465546,11.244514049422971,"(0.003, 0.0526]"
-0.5904617595852164,9.744885230943076,"(0.201, 0.25]"
-0.7649201787664215,9.04838343402232,"(0.0526, 0.102]"
2.594891145472668,13.612984570413056,"(0.201, 0.25]"
-0.8657700460822084,7.155638712652504,"(0.151, 0.201]"
0.3736476512080201,8.182760328539702,"(0.003, 0.0526]"
1.2125474250961614,11.18134471157055,"(0.003, 0.0526]"
3.359055341073289,14.8467979697526,"(0.102, 0.151]"
1.818982005949093,12.76310864110644,"(0.102, 0.151]"
0.0451095727861523,9.72802558475694,"(0.0526, 0.102]"
0.8988863259610701,13.22071229132739,"(0.151, 0.201]"
0.994444047066508,10.400568629637892,"(0.201, 0.25]"
0.6561870518858467,10.602323542628795,"(0.102, 0.151]"
-0.7473188892501502,10.104636119241842,"(0.201, 0.25]"
-2.054796701213812,6.839285998713389,"(0.151, 0.201]"
2.345508863797772,13.466718453033184,"(0.003, 0.0526]"
-0.3151365836575435,9.746123692262609,"(0.0526, 0.102]"
2.375900226132128,13.149756891270478,"(0.151, 0.201]"
-0.218384928595448,9.62218596728946,"(0.151, 0.201]"
-2.7088533911591397,5.469005294481424,"(0.0526, 0.102]"
-1.7814182719764504,7.586869028648545,"(0.201, 0.25]"
0.3821256015971604,11.40459131119248,"(0.003, 0.0526]"
-2.437943753639487,5.34481583632187,"(0.102, 0.151]"
0.8270326504702086,11.791967916193904,"(0.0526, 0.102]"
2.5161846629806472,13.545574647157755,"(0.102, 0.151]"
1.511939717947488,13.33849591920474,"(0.003, 0.0526]"
0.0829618988001912,10.618382120659586,"(0.201, 0.25]"
0.5533882273660813,11.191748790483429,"(0.102, 0.151]"
1.2834009862234024,11.335631721169804,"(0.151, 0.201]"
0.3720179536380138,10.911570086921529,"(0.102, 0.151]"
3.1118641143437213,13.875593027762632,"(0.0526, 0.102]"
-2.768711489351161,8.441762142613042,"(0.003, 0.0526]"
-4.468698772984939,3.70193346273627,"(0.201, 0.25]"
1.904584593771264,13.506644714421729,"(0.0526, 0.102]"
0.5354577908169065,11.65926418377076,"(0.201, 0.25]"
-0.7325262963897803,9.215896340653794,"(0.003, 0.0526]"
-2.197410456894729,4.750276955095149,"(0.0526, 0.102]"
-1.9706337839266364,7.961269414428865,"(0.003, 0.0526]"
-0.9373256897584112,8.553187014079601,"(0.151, 0.201]"
2.0724600583248787,15.0406691299871,"(0.151, 0.201]"
1.7652543396698976,12.645459982526448,"(0.003, 0.0526]"
-1.665247233309394,7.2271515074674255,"(0.151, 0.201]"
1.093701357985378,10.365631404907344,"(0.003, 0.0526]"
0.9732697386592526,13.107505315259882,"(0.151, 0.201]"
0.3901320755241479,12.83379502274532,"(0.201, 0.25]"
2.777870485521014,14.159146327591904,"(0.151, 0.201]"
-0.7213899367954271,8.109445629197934,"(0.102, 0.151]"
3.0924195111713795,14.406420318822564,"(0.201, 0.25]"
-2.189455445001116,7.379413127785583,"(0.102, 0.151]"
2.3900194290514856,13.029844751274458,"(0.102, 0.151]"
0.4670190929757639,9.362460561336428,"(0.201, 0.25]"
2.652158944607793,14.583585590458416,"(0.003, 0.0526]"
0.7291757947008763,10.138989436568544,"(0.003, 0.0526]"
-1.1098842381355405,8.421692806275098,"(0.003, 0.0526]"
-0.0585553727162346,11.11270265775482,"(0.201, 0.25]"
