P,O,M
5.0,1.4646333265570943,2
6.0,1.2122374704138683,2
6.0,1.0004373743874282,1
8.0,1.075754948172941,2
7.0,1.4889680005851325,2
8.0,1.2968472449348725,1
5.0,1.1330303526870462,0
4.0,0.6408214345055554,1
4.0,0.9371844250883644,1
6.0,0.9817864321979182,1
7.0,1.058681209457634,2
7.0,1.1295844507927164,2
8.0,0.9780173892771168,2
7.0,0.8120887094487848,1
2.0,0.5238747617707702,0
7.0,0.8996392643797992,0
7.0,0.6483768808485764,1
2.0,0.922980610150648,0
7.0,0.8060566071377706,1
7.0,0.987774556565738,1
7.0,0.7898558311024144,1
8.0,1.0244627734506977,1
2.0,0.4999244478356678,0
6.0,1.0156158965000897,1
8.0,0.8885616175019624,0
6.0,1.1049028721685443,2
4.0,0.6995485451738999,0
4.0,0.7779616825937361,0
5.0,0.441580919140715,0
6.0,0.9269395766012032,1
5.0,0.7559908845256065,1
5.0,0.5082417535152417,0
3.0,0.3536925025711365,0
4.0,1.2868999546341966,1
4.0,0.9476605744092336,1
5.0,1.3551090697385626,2
9.0,0.930378258109045,2
6.0,1.272287653047269,2
5.0,0.8625181636845838,0
6.0,1.124784298572191,1
5.0,1.0080018583068209,1
5.0,1.5978710162488163,2
8.0,1.0167995433606063,0
3.0,0.7215796890291499,0
4.0,1.096490243743974,0
6.0,0.404164948402541,0
9.0,1.129175028794155,2
7.0,0.8704135802162463,1
4.0,0.6857293445566075,0
5.0,0.8402560397784735,1
8.0,1.240743705119412,1
4.0,0.8500546943727809,2
6.0,0.654709586520813,1
5.0,0.5441928971128114,0
7.0,0.5671088544778169,0
8.0,0.9550564857530393,0
7.0,0.9516266398048504,1
5.0,1.098176113483809,0
7.0,0.6902523728612395,0
7.0,1.0297240724026084,0
7.0,1.2154282906473135,1
5.0,1.2527111782939029,1
7.0,1.350320277327418,2
9.0,0.6016365628129676,0
4.0,1.054162722875187,1
6.0,1.2515915415614425,1
10.0,0.7226864894468388,1
7.0,0.9257932254744644,1
9.0,0.8474347855547456,2
7.0,0.8110484899949613,0
9.0,0.9432413452584232,1
4.0,0.6136096612207484,0
4.0,0.9573340443731104,1
4.0,1.151433014234699,0
6.0,1.1255239345631396,1
6.0,1.2737323050027345,2
4.0,1.12465594547768,1
5.0,1.0397295645767262,1
4.0,0.8765577969694693,1
5.0,1.1799311135423678,1
6.0,1.246821465175908,1
7.0,1.391164579909251,2
5.0,0.7711903110858933,1
5.0,1.0546282787894,0
6.0,0.821520415236066,2
6.0,1.211734315921439,2
4.0,0.5734443181625984,1
12.0,0.9177356613923866,2
7.0,1.4844246084715005,2
7.0,0.4504104838053221,0
2.0,1.1626823020530446,1
7.0,1.1094932376761042,1
7.0,0.8909243583724371,0
6.0,1.286732361582373,2
6.0,0.9384351408421918,0
7.0,0.8064827199241893,1
10.0,1.2192487716500626,2
6.0,1.1282525531906922,1
8.0,0.886498308391154,0
7.0,1.2933213177353229,2
6.0,0.7157928206339286,0
4.0,0.8427369526635944,0
9.0,0.8973338303081135,2
4.0,0.7583658535361951,2
6.0,1.0075319435373893,1
7.0,0.580913925823424,1
4.0,1.290921281084258,1
7.0,1.22424119054306,1
4.0,0.8445435774434206,1
10.0,1.2025939827227587,2
7.0,1.5913286839938126,2
7.0,0.8527719730233696,1
2.0,0.5843923144248904,0
6.0,1.293218656967559,1
11.0,0.8757276756008694,2
4.0,0.9538871363206254,1
6.0,1.245974462363038,2
7.0,1.152689980482771,1
6.0,0.6213344624725743,1
8.0,0.8930568021455889,2
5.0,0.7698560206247658,1
5.0,0.7834676708751163,1
9.0,0.9952650360940904,1
4.0,0.4892571224509818,0
4.0,0.3505120008376644,0
6.0,0.7945743560265986,1
5.0,0.948477063094228,0
3.0,0.712082047620159,0
3.0,1.254270915301599,0
5.0,0.6210790969748512,0
5.0,1.2473405809105194,2
6.0,1.4282274813686646,2
5.0,1.2120595649083037,1
6.0,0.6098462279866229,1
3.0,1.059457629191752,0
7.0,0.9932051622774476,0
7.0,0.8835642332840832,2
6.0,1.19579128563074,1
7.0,0.7349178001350065,0
8.0,0.8616055976349631,2
5.0,0.8197535268038116,1
3.0,0.8757711161118578,0
7.0,0.865805317010199,1
9.0,0.986242764064343,2
6.0,0.7194027474951907,0
7.0,0.6337052126039877,0
5.0,0.8927345646626392,1
2.0,0.9250373604572748,0
4.0,0.9817457525864144,1
6.0,0.951686059229546,1
5.0,0.8311351781311282,0
6.0,1.1525708093141198,0
