B,Y,A
0.0203593766196119,15.566994008956073,"(2.063, 3.695]"
0.2096289553394443,11.374922931024711,"(0.43, 2.063]"
0.2032814082519488,7.151899205162891,"(-2.836, -1.203]"
0.0174414531035153,12.867216205353651,"(0.43, 2.063]"
0.1870863162231354,13.267777098848402,"(2.063, 3.695]"
0.0380210760892257,14.451797174356626,"(2.063, 3.695]"
0.1801662439811875,8.899665093165293,"(-1.203, 0.43]"
0.1607022225787186,7.779699897384021,"(-2.836, -1.203]"
0.2499356900901881,8.008065587339878,"(-2.836, -1.203]"
0.0836560735902395,16.425231989767916,"(2.063, 3.695]"
0.0594858934380129,10.669644044289004,"(0.43, 2.063]"
0.1295560900095383,7.864460772511596,"(-2.836, -1.203]"
0.0071214118701137,11.967778657494431,"(0.43, 2.063]"
0.0928262806808987,8.047069188298314,"(-2.836, -1.203]"
0.1767150894948897,14.777191214099538,"(2.063, 3.695]"
0.1250518380305225,5.394738414070433,"(-2.836, -1.203]"
0.2154167183504851,15.225937730638236,"(2.063, 3.695]"
0.0378795796671341,9.940320346782332,"(0.43, 2.063]"
0.1820994457646918,8.38019036504315,"(-1.203, 0.43]"
0.1591068819551523,13.706109810154803,"(0.43, 2.063]"
0.0253945876485457,10.922953246506252,"(0.43, 2.063]"
0.1537794894375101,6.204085515736997,"(-2.836, -1.203]"
0.1048306600326024,4.522398571090762,"(-2.836, -1.203]"
0.0923034731266393,8.779605829834146,"(-2.836, -1.203]"
0.1608734400308301,14.78516523320642,"(2.063, 3.695]"
0.1468113767723461,6.4426788155418055,"(-2.836, -1.203]"
0.0765626049131002,14.639255040207846,"(2.063, 3.695]"
0.0517057624698847,8.573625939862016,"(-2.836, -1.203]"
0.1180943513813341,9.588347038695222,"(-1.203, 0.43]"
0.1527449513760664,7.233596783656511,"(-2.836, -1.203]"
0.0499540185143007,13.943940737142976,"(2.063, 3.695]"
0.245767874779685,5.443195353925407,"(-4.477, -2.836]"
0.1151675541625498,14.378314218213657,"(2.063, 3.695]"
0.1218393073486343,9.584831129743575,"(-1.203, 0.43]"
0.2207434662366234,10.576235730000391,"(-1.203, 0.43]"
0.050680459559173,12.783140490472183,"(0.43, 2.063]"
0.2208259101513942,9.148743776376556,"(-2.836, -1.203]"
0.0325594697025835,12.60502118464266,"(0.43, 2.063]"
0.1263170599910319,14.874288596688348,"(2.063, 3.695]"
0.008999018734096,11.244514049422971,"(0.43, 2.063]"
0.2481420911556957,9.744885230943076,"(-1.203, 0.43]"
0.0586760708212365,9.04838343402232,"(-1.203, 0.43]"
0.2038124520518456,13.612984570413056,"(2.063, 3.695]"
0.1829988715238147,7.155638712652504,"(-1.203, 0.43]"
0.0090002421014919,8.182760328539702,"(-1.203, 0.43]"
0.0076518625228029,11.18134471157055,"(0.43, 2.063]"
0.1467602588744934,14.8467979697526,"(2.063, 3.695]"
0.1433960181030761,12.76310864110644,"(0.43, 2.063]"
0.0706296299013927,9.72802558475694,"(-1.203, 0.43]"
0.1525989484897957,13.22071229132739,"(0.43, 2.063]"
0.2185494621777628,10.400568629637892,"(0.43, 2.063]"
0.1121280519255349,10.602323542628795,"(0.43, 2.063]"
0.2219110951694855,10.104636119241842,"(-1.203, 0.43]"
0.153324899028591,6.839285998713389,"(-2.836, -1.203]"
0.0430547793183325,13.466718453033184,"(2.063, 3.695]"
0.0603147322848325,9.746123692262609,"(-1.203, 0.43]"
0.1727543248085772,13.149756891270478,"(2.063, 3.695]"
0.1986643595485068,9.62218596728946,"(-1.203, 0.43]"
0.0575787380836957,5.469005294481424,"(-2.836, -1.203]"
0.2419380388965924,7.586869028648545,"(-2.836, -1.203]"
0.0421962943076132,11.40459131119248,"(-1.203, 0.43]"
0.1349438574372756,5.34481583632187,"(-2.836, -1.203]"
0.0714330110450067,11.791967916193904,"(0.43, 2.063]"
0.1511292934655524,13.545574647157755,"(2.063, 3.695]"
0.0125784723255768,13.33849591920474,"(0.43, 2.063]"
0.2322724012106304,10.618382120659586,"(-1.203, 0.43]"
0.1503312648878953,11.191748790483429,"(0.43, 2.063]"
0.1901907952223451,11.335631721169804,"(0.43, 2.063]"
0.124726991227314,10.911570086921529,"(-1.203, 0.43]"
0.0619826112689498,13.875593027762632,"(2.063, 3.695]"
0.0032492408912481,8.441762142613042,"(-2.836, -1.203]"
0.2367934050608338,3.70193346273627,"(-4.477, -2.836]"
0.0701618595009655,13.506644714421729,"(0.43, 2.063]"
0.2307679158386729,11.65926418377076,"(0.43, 2.063]"
0.0520364955713687,9.215896340653794,"(-1.203, 0.43]"
0.089488719995007,4.750276955095149,"(-2.836, -1.203]"
0.0227421499563162,7.961269414428865,"(-2.836, -1.203]"
0.1584935407896163,8.553187014079601,"(-1.203, 0.43]"
0.1523836801541435,15.0406691299871,"(2.063, 3.695]"
0.0373467767599696,12.645459982526448,"(0.43, 2.063]"
0.1877909740608679,7.2271515074674255,"(-2.836, -1.203]"
0.0378087866160317,10.365631404907344,"(0.43, 2.063]"
0.1804587156976484,13.107505315259882,"(0.43, 2.063]"
0.2423939340670747,12.83379502274532,"(-1.203, 0.43]"
0.1578001641712929,14.159146327591904,"(2.063, 3.695]"
0.149508317780187,8.109445629197934,"(-1.203, 0.43]"
0.237067046569279,14.406420318822564,"(2.063, 3.695]"
0.1082007017526922,7.379413127785583,"(-2.836, -1.203]"
0.1108941012075956,13.029844751274458,"(2.063, 3.695]"
0.2064931146912198,9.362460561336428,"(0.43, 2.063]"
0.0514845835919434,14.583585590458416,"(2.063, 3.695]"
0.0519445496575427,10.138989436568544,"(0.43, 2.063]"
0.0048688209643389,8.421692806275098,"(-1.203, 0.43]"
