Y,Z,X,C1
2.747509188461194,2.9666740936456684,0.6695218267465242,B
2.7772785665770248,2.9875688007185346,0.9940755158422956,B
1.3968164451904448,3.66139822531931,2.468713980606652,B
-0.5495225899380665,3.337771918067657,0.2246522609482792,A
0.1467033691047248,2.2440321222488437,-1.2509195144365026,A
0.2908773986546983,3.9485277750785137,-0.5205264711354445,A
2.259539725497138,2.9953504912301527,1.7905031491129306,B
-0.0135812675425193,1.1942138287979869,0.788771139413746,A
1.7280561876470697,3.091261235119338,1.0746169336631262,B
2.199259075867651,1.069003882577659,-1.101580011901111,B
-0.2045698318294679,3.05832127635435,-2.6797493997336543,A
2.843520624604523,2.9401591766026,0.6039555137848684,B
1.605027304863698,3.8415501290183736,0.5503980581930343,B
2.1772154203894134,5.204925205009278,-0.457149032182983,B
0.0851183683684455,3.6211014885381343,-0.6849358224907842,A
0.4063323097791366,1.3834368998720317,-1.1570986821956737,A
2.67383526000088,4.152550427088996,0.0898773539858586,B
1.916816998126034,1.511289056832775,2.6655063739810902,B
1.4806025144581114,4.500139741405776,1.187398505261895,B
1.7453405256736665,1.2712077121204253,1.3595482801550518,B
2.1472268672296813,2.001775811530245,0.5882826417081561,B
0.425928135012583,5.456058461758427,-2.4473119810747868,A
1.800827044806756,4.424988854835943,2.196331034172043,B
1.3019743495134493,4.4325647195252245,0.0030348228166471,B
1.6038744726253698,1.081038838742474,1.737397967860825,B
-0.6018061645164624,1.168773405618531,-1.3296809426610248,A
-0.3600689850542654,3.113924643063897,-3.1537902581944266,A
1.8246181286720904,4.038310290082379,-0.1243561656382692,B
2.636217598492126,1.2474671513960904,0.6825968234447191,B
2.6401635012599485,1.1066416320491983,-0.4075843913681229,B
0.0933799473198992,2.4797702205906984,0.3741058933583352,A
2.784663667195523,3.472996289340849,1.907005021765157,B
2.3650106982875068,2.6873533576669586,1.9711656190109423,B
2.583790306447151,3.394754897947259,2.22009970068743,B
2.166704413727392,3.701619368453979,2.759368902903938,B
1.310056699113226,3.779972747883115,-0.5786857438107671,A
1.7452558355625496,3.5100845824364533,2.14012467410247,B
-0.4905679038776409,4.0526102322418645,-0.8953411958071532,A
1.792886075272604,4.741455442107572,1.6823986315132773,B
-0.2798567280592719,1.073755290955872,-0.6472051617932069,A
1.7425299162543877,4.01971385998279,0.798716440435487,B
-0.6883301091065478,1.5360597741587123,-1.544704134216357,A
2.2096325363156493,1.599587752510924,1.8633714856755776,B
1.333806265657964,2.795183888539689,1.6288421436840108,B
0.7587782015536333,2.914288488927949,-0.9683021336654172,A
0.9693355670181236,1.055577486534986,1.5774281780800352,B
2.564983289402556,3.914064988995256,1.47939008602714,B
1.624260480838824,3.447562754944584,0.3094527928142784,B
2.1303619619151952,4.482975471313333,0.926453544671432,B
1.8483110457504777,2.790116593435071,1.277189112042788,B
1.2311537227699645,2.0940690529533628,0.2138493975880188,B
2.183638434603121,2.473028953052072,1.5903226524109622,B
2.475975183976754,3.4446911357161536,1.2624813850911314,B
0.0530578833778947,3.0761359984450443,1.2768728114092638,A
